Date,Name,X,Y,Demand,W_S,W_F,Service_time,N_V,C_V1,C_V2,C_V3
20240318,新店鑫泉店,350178.518,2763525.106,15,0,86400,600,3,180,180,180
20240318,新店福民店,350812.167,2763039.629,12,0,86400,600,3,180,180,180
20240318,新店鑫民店,351370.63,2762839.707,5,0,86400,600,3,180,180,180
20240318,新店中華店,351757.626,2762502.022,5,0,86400,600,3,180,180,180
20240318,新店正民店,351818.922,2762974.895,3,0,86400,600,3,180,180,180
20240318,新店健民店,351829.806,2763506.926,13,0,86400,600,3,180,180,180
20240318,新店新民族店,351664.871,2763496.153,5,0,86400,600,3,180,180,180
20240318,新店民德店,351987.887,2763652.976,11,0,86400,600,3,180,180,180
20240318,新店忠誠店,352074.194,2763209.896,5,0,86400,600,3,180,180,180
20240318,新店涵碧店,351181.614,2761157.451,7,0,86400,600,3,180,180,180
20240318,新店永業店,350737.752,2760387.481,9,0,86400,600,3,180,180,180
20240318,新店站前店,351565.47,2761305.968,14,0,86400,600,3,180,180,180
20240318,新店鑫碧潭店,351480.299,2761228.575,15,0,86400,600,3,180,180,180
20240318,新店北宜店,352568.276,2760615.465,8,0,86400,600,3,180,180,180
20240318,新店長春店,352959.644,2760794.467,1,0,86400,600,3,180,180,180
20240318,新店美譚店,353826.194,2760924.348,14,0,86400,600,3,180,180,180
20240318,新店新陽店,352865.36,2758680.055,10,0,86400,600,3,180,180,180
20240318,新店龜山店,352927.398,2755215.657,10,0,86400,600,3,180,180,180
20240318,烏來烏萊店,352491.598,2750967.354,14,0,86400,600,3,180,180,180
20240318,瑞芳ＤＣ,375487.619,2777331.953,0,0,86400,600,3,180,180,180
20240318,松創店,353835.202,2770786.071,15,0,86400,600,3,180,180,180
20240318,逸鑫店,354205.752,2770428.736,10,0,86400,600,3,180,180,180
20240318,台北１０１店,354320.751,2769706.945,9,0,86400,600,3,180,180,180
20240318,建鑫店,354663.825,2769872.415,1,0,86400,600,3,180,180,180
20240318,松仁店,354762.645,2769099.906,1,0,86400,600,3,180,180,180
20240318,新安興店,354803.805,2768705.913,14,0,86400,600,3,180,180,180
20240318,祥和店,354926.007,2768619.567,2,0,86400,600,3,180,180,180
20240318,挹翠店,354863.29,2768197.718,13,0,86400,600,3,180,180,180
20240318,盛興店,354494.672,2768848.924,5,0,86400,600,3,180,180,180
20240318,莊敬店,354370.826,2769006.436,6,0,86400,600,3,180,180,180
20240318,北醫店,354261.986,2768959.098,14,0,86400,600,3,180,180,180
20240318,莊新店,354220.919,2769110.074,5,0,86400,600,3,180,180,180
20240318,景聯店,353997.013,2769367.687,5,0,86400,600,3,180,180,180
20240318,富興店,353981.859,2769149.663,3,0,86400,600,3,180,180,180
20240318,三興店,353833.104,2769481.546,8,0,86400,600,3,180,180,180
20240318,復昌店,353645.774,2769515.818,12,0,86400,600,3,180,180,180
20240318,新信德店,355361.634,2769538.527,4,0,86400,600,3,180,180,180
20240318,松友店,355604.613,2769849.101,2,0,86400,600,3,180,180,180
20240318,松永店,355397.066,2769992.908,10,0,86400,600,3,180,180,180
20240318,瑞芳ＤＣ,375487.619,2777331.953,0,0,86400,600,3,180,180,180
20240318,萬芳店,353544.315,2765841.321,2,0,86400,600,3,180,180,180
20240318,興園店,353065.952,2766017.033,6,0,86400,600,3,180,180,180
20240318,仙岩店,352620.456,2765778.028,1,0,86400,600,3,180,180,180
20240318,靜興店,352490.821,2765895.554,3,0,86400,600,3,180,180,180
20240318,華德店,352372.51,2765461.405,2,0,86400,600,3,180,180,180
20240318,新文華店,351990.118,2765450.682,3,0,86400,600,3,180,180,180
20240318,羅和店,351932.231,2765505.658,2,0,86400,600,3,180,180,180
20240318,萬和店,351518.672,2766227.61,8,0,86400,600,3,180,180,180
20240318,師美店,351590.685,2766881.569,5,0,86400,600,3,180,180,180
20240318,萬慶店,351738.071,2765278.154,9,0,86400,600,3,180,180,180
20240318,深坑北福店,357849.976,2766385.739,9,0,86400,600,3,180,180,180
20240318,深坑北深店,358041.653,2766316.981,12,0,86400,600,3,180,180,180
20240318,深坑埔新店,359857.714,2766146.385,13,0,86400,600,3,180,180,180
20240318,深坑昇高店,359944.878,2766168.646,7,0,86400,600,3,180,180,180
20240318,深坑紅葉店,359095.135,2766030.984,11,0,86400,600,3,180,180,180
20240318,石碇國道店,362482.294,2766872.953,1,0,86400,600,3,180,180,180
20240318,坪林順益店,368878.176,2758647.116,12,0,86400,600,3,180,180,180
20240318,石碇雙溪店,363226.208,2766652.754,4,0,86400,600,3,180,180,180
20240318,平溪平安店,372126.201,2768530.926,1,0,86400,600,3,180,180,180
20240318,平溪十分店,375991.07,2770604.403,5,0,86400,600,3,180,180,180
20240318,瑞芳ＤＣ,375487.619,2777331.953,0,0,86400,600,3,180,180,180
20240324,瑞芳ＤＣ,375487.619,2777331.953,0,0,86400,600,2,180,180,180
20240324,汐止力行店,359694.885,2771578.569,9,0,86400,600,2,180,180,180
20240324,富康店,359648.525,2771656.842,15,0,86400,600,2,180,180,180
20240324,港忠店,359553.863,2771808.725,7,0,86400,600,2,180,180,180
20240324,南港生技店,358943.324,2771694.453,11,0,86400,600,2,180,180,180
20240324,中研店,359343.914,2771189.961,5,0,86400,600,2,180,180,180
20240324,研究院店,359449.734,2770984.432,12,0,86400,600,2,180,180,180
20240324,胡適店,359766.303,2770586.98,15,0,86400,600,2,180,180,180
20240324,新莊研店,360073.962,2770265.899,9,0,86400,600,2,180,180,180
20240324,汐止鑫宜興店,360091.053,2770502.424,11,0,86400,600,2,180,180,180
20240324,國興店,359837.984,2770670.794,8,0,86400,600,2,180,180,180
20240324,汐止橫科店,359867.032,2771266.72,8,0,86400,600,2,180,180,180
20240324,汐止南陽店,360534.606,2772384.79,14,0,86400,600,2,180,180,180
20240324,汐止興中店,361219.223,2773081.775,12,0,86400,600,2,180,180,180
20240324,汐止樟興店,362184.599,2772777.308,12,0,86400,600,2,180,180,180
20240324,汐止忠樹店,362040.911,2772995.745,13,0,86400,600,2,180,180,180
20240324,汐止樟中店,362194.011,2773057.462,4,0,86400,600,2,180,180,180
20240324,汐止樟福店,362239.808,2773214.738,15,0,86400,600,2,180,180,180
20240324,汐止新樹店,362100.018,2773540.519,15,0,86400,600,2,180,180,180
20240324,汐止福德店,361739.111,2773587.571,14,0,86400,600,2,180,180,180
20240324,汐止福旺店,361779.714,2773416.123,3,0,86400,600,2,180,180,180
20240324,汐止長虹店,361330.145,2773227.27,5,0,86400,600,2,180,180,180
20240324,汐止興福店,361075.746,2773121.042,3,0,86400,600,2,180,180,180
20240324,汐止茂盛店,361402.432,2772271.727,6,0,86400,600,2,180,180,180
20240324,新店新寶安店,352167.558,2763961.498,10,0,86400,600,2,180,180,180
20240324,新店寶元店,352010.206,2764066.853,1,0,86400,600,2,180,180,180
20240324,新店慶民店,351811.842,2764040.288,13,0,86400,600,2,180,180,180
20240324,新店金采店,351804.91,2764409.244,11,0,86400,600,2,180,180,180
20240324,新店民佳店,351629.265,2764115.747,6,0,86400,600,2,180,180,180
20240324,新店慈濟店,351388.155,2764442.647,6,0,86400,600,2,180,180,180
20240324,新店民權店,351485.162,2764075.831,3,0,86400,600,2,180,180,180
20240324,新店復興店,351283.16,2764098.636,3,0,86400,600,2,180,180,180
20240324,新店莊敬店,351139.244,2764350.577,6,0,86400,600,2,180,180,180
20240324,新店大鵬店,351232.121,2764941.549,3,0,86400,600,2,180,180,180
20240324,新店中盛店,351151.41,2764099.484,5,0,86400,600,2,180,180,180
20240324,新店公宅店,350432.0,2764001.501,15,0,86400,600,2,180,180,180
20240324,新店江陵店,351554.681,2763886.636,8,0,86400,600,2,180,180,180
20240324,新店順安店,351869.14,2764462.85,2,0,86400,600,2,180,180,180
20240324,新店新豐店,351926.989,2763815.492,11,0,86400,600,2,180,180,180
20240324,新店新文強店,352112.978,2763718.888,5,0,86400,600,2,180,180,180
20240324,新店新寶橋店,352287.474,2763191.535,10,0,86400,600,2,180,180,180
20240324,新店德正店,352250.015,2762831.896,4,0,86400,600,2,180,180,180
20240324,新店華盛店,351951.519,2762826.395,12,0,86400,600,2,180,180,180
20240324,新店新華店,351889.581,2762341.312,11,0,86400,600,2,180,180,180
20240324,新店光盛店,351766.364,2761894.382,10,0,86400,600,2,180,180,180
20240324,新店光明店,351707.803,2761694.849,7,0,86400,600,2,180,180,180
20240324,新店北宜店,352568.276,2760615.465,13,0,86400,600,2,180,180,180
20240324,新店長春店,352959.644,2760794.467,15,0,86400,600,2,180,180,180
20240324,新店美譚店,353826.194,2760924.348,12,0,86400,600,2,180,180,180
20240324,新店龜山店,352927.398,2755215.657,7,0,86400,600,2,180,180,180
20240324,烏來烏萊店,352491.598,2750967.354,8,0,86400,600,2,180,180,180
20240324,烏來溫泉店,352864.215,2750969.558,6,0,86400,600,2,180,180,180
20240324,新店新陽店,352865.36,2758680.055,8,0,86400,600,2,180,180,180
20240324,新店鑫峰店,351644.904,2761393.669,8,0,86400,600,2,180,180,180
20240324,瑞芳ＤＣ,375487.619,2777331.953,0,0,86400,600,2,180,180,180
20240307,林口ＤＣ,337877.417,2775446.632,0,0,86400,600,3,180,180,180
20240307,新天地店,349675.894,2775877.06,10,0,86400,600,3,180,180,180
20240307,百齡店,349687.39,2775661.667,13,0,86400,600,3,180,180,180
20240307,福港店,349694.84,2775442.398,6,0,86400,600,3,180,180,180
20240307,大港店,350068.002,2775404.37,15,0,86400,600,3,180,180,180
20240307,和豐店,349842.543,2775177.561,13,0,86400,600,3,180,180,180
20240307,通河店,349977.79,2774980.575,9,0,86400,600,3,180,180,180
20240307,華港店,350011.372,2775793.253,12,0,86400,600,3,180,180,180
20240307,基河店,350245.662,2775813.065,13,0,86400,600,3,180,180,180
20240307,士商店,349719.423,2776162.352,12,0,86400,600,3,180,180,180
20240307,新光醫院店,349941.733,2776692.986,2,0,86400,600,3,180,180,180
20240307,新陽明店,350242.152,2776472.736,10,0,86400,600,3,180,180,180
20240307,文鑫店,350624.131,2775977.643,13,0,86400,600,3,180,180,180
20240307,大東店,350470.507,2775982.387,9,0,86400,600,3,180,180,180
20240307,大南店,350414.713,2775907.32,15,0,86400,600,3,180,180,180
20240307,美崙店,350246.08,2776758.142,7,0,86400,600,3,180,180,180
20240307,士林店,350645.308,2776813.275,6,0,86400,600,3,180,180,180
20240307,明德店,349826.883,2778089.191,12,0,86400,600,3,180,180,180
20240307,榮光店,349458.33,2778460.648,7,0,86400,600,3,180,180,180
20240307,新實店,348898.502,2778794.439,14,0,86400,600,3,180,180,180
20240307,尊賢店,348660.135,2779016.208,6,0,86400,600,3,180,180,180
20240307,唭哩店,348582.46,2779368.67,13,0,86400,600,3,180,180,180
20240307,華儷店,348946.704,2779279.007,5,0,86400,600,3,180,180,180
20240307,立賢店,348469.767,2778924.627,5,0,86400,600,3,180,180,180
20240307,林口ＤＣ,337877.417,2775446.632,0,0,86400,600,3,180,180,180
20240307,瑞芳ＤＣ,375487.619,2777331.953,0,0,86400,600,3,180,180,180
20240307,大聯大店,359577.769,2772643.287,11,0,86400,600,3,180,180,180
20240307,護校店,358933.83,2774270.102,5,0,86400,600,3,180,180,180
20240307,港忠店,359553.863,2771808.725,7,0,86400,600,3,180,180,180
20240307,南港生技店,358943.324,2771694.453,4,0,86400,600,3,180,180,180
20240307,中研店,359343.914,2771189.961,5,0,86400,600,3,180,180,180
20240307,研究院店,359449.734,2770984.432,2,0,86400,600,3,180,180,180
20240307,胡適店,359766.303,2770586.98,13,0,86400,600,3,180,180,180
20240307,新莊研店,360073.962,2770265.899,3,0,86400,600,3,180,180,180
20240307,汐止鑫宜興店,360091.053,2770502.424,12,0,86400,600,3,180,180,180
20240307,國興店,359837.984,2770670.794,15,0,86400,600,3,180,180,180
20240307,汐止橫科店,359867.032,2771266.72,14,0,86400,600,3,180,180,180
20240307,汐止力行店,359694.885,2771578.569,10,0,86400,600,3,180,180,180
20240307,富康店,359648.525,2771656.842,6,0,86400,600,3,180,180,180
20240307,汐止南陽店,360534.606,2772384.79,8,0,86400,600,3,180,180,180
20240307,汐止興中店,361219.223,2773081.775,14,0,86400,600,3,180,180,180
20240307,汐止導航店,362004.602,2772742.92,12,0,86400,600,3,180,180,180
20240307,汐止樟興店,362184.599,2772777.308,11,0,86400,600,3,180,180,180
20240307,汐止忠樹店,362040.911,2772995.745,3,0,86400,600,3,180,180,180
20240307,汐止樟中店,362194.011,2773057.462,9,0,86400,600,3,180,180,180
20240307,汐止樟福店,362239.808,2773214.738,3,0,86400,600,3,180,180,180
20240307,汐止新樹店,362100.018,2773540.519,11,0,86400,600,3,180,180,180
20240307,汐止福德店,361739.111,2773587.571,8,0,86400,600,3,180,180,180
20240307,汐止福旺店,361779.714,2773416.123,4,0,86400,600,3,180,180,180
20240307,汐止興福店,361075.746,2773121.042,11,0,86400,600,3,180,180,180
20240307,汐止長虹店,361330.145,2773227.27,11,0,86400,600,3,180,180,180
20240307,汐止茂盛店,361402.432,2772271.727,11,0,86400,600,3,180,180,180
20240307,新店寶元店,352010.206,2764066.853,10,0,86400,600,3,180,180,180
20240307,新店慶民店,351811.842,2764040.288,12,0,86400,600,3,180,180,180
20240307,新店金采店,351804.91,2764409.244,4,0,86400,600,3,180,180,180
20240307,新店民佳店,351629.265,2764115.747,14,0,86400,600,3,180,180,180
20240307,新店慈濟店,351388.155,2764442.647,15,0,86400,600,3,180,180,180
20240307,新店民權店,351485.162,2764075.831,10,0,86400,600,3,180,180,180
20240307,新店復興店,351283.16,2764098.636,1,0,86400,600,3,180,180,180
20240307,新店中盛店,351151.41,2764099.484,15,0,86400,600,3,180,180,180
20240307,新店莊敬店,351139.244,2764350.577,5,0,86400,600,3,180,180,180
20240307,新店大鵬店,351232.121,2764941.549,10,0,86400,600,3,180,180,180
20240307,新店公宅店,350432.0,2764001.501,14,0,86400,600,3,180,180,180
20240307,新店江陵店,351554.681,2763886.636,14,0,86400,600,3,180,180,180
20240307,新店順安店,351869.14,2764462.85,5,0,86400,600,3,180,180,180
20240307,新店新豐店,351926.989,2763815.492,2,0,86400,600,3,180,180,180
20240307,新店新寶安店,352167.558,2763961.498,6,0,86400,600,3,180,180,180
20240307,新店新文強店,352112.978,2763718.888,5,0,86400,600,3,180,180,180
20240307,新店新寶橋店,352287.474,2763191.535,3,0,86400,600,3,180,180,180
20240307,新店德正店,352250.015,2762831.896,1,0,86400,600,3,180,180,180
20240307,新店華盛店,351951.519,2762826.395,10,0,86400,600,3,180,180,180
20240307,新店行政店,352037.981,2762346.418,1,0,86400,600,3,180,180,180
20240307,新店新華店,351889.581,2762341.312,2,0,86400,600,3,180,180,180
20240307,新店光盛店,351766.364,2761894.382,3,0,86400,600,3,180,180,180
20240307,新店光明店,351707.803,2761694.849,6,0,86400,600,3,180,180,180
