name,tel,address,商店編號,lng,lat,X,Y
全家台大醫院店,233223538,台北市中正區中山南路７號Ｂ１樓,58527,121.5189715,25.04053,349754.167,2770496.156
全家新惠安店,223036887,台北市中正區中華路二段３０７巷４６號,52555,121.5064301,25.0294127,348475.162,2769278.775
全家南機場店,223039420,台北市中正區中華路二段３１１巷１號１樓,18805,121.5057421,25.0283966,348404.495,2769167.004
全家新東門店,223564259,台北市中正區信義路一段１號,54785,121.519456,25.0385054,349800.6,2770271.389
全家南陽店,223881469,台北市中正區信陽街１５號,10112,121.5162199,25.044802,349481.721,2770972.338
全家新德店,223214351,台北市中正區八德路一段４３巷２號,53115,121.5316297,25.0444514,351036.078,2770916.547
全家正陽店,223613524,台北市中正區南陽街１號,60487,121.5162868,25.0458746,349489.774,2771091.059
全家博愛店,223432173,台北市中正區博愛路６３號１Ｆ＋Ｂ１Ｆ,58369,121.5116063,25.0443137,349015.634,2770923.369
全家和鄰店,223628326,台北市中正區和平西路一段８２號１樓,12744,121.5187824,25.0263484,349717.9,2768925.699
全家嶺先店,223672038,台北市中正區廈門街１１３巷１７號１樓及地下室部分,60549,121.5192331,25.0234788,349759.905,2768607.382
全家寶慶店,223898700,台北市中正區延平南路１１１號,11554,121.509581,25.041816,348808.242,2770648.988
全家和醫店,223122560,台北市中正區延平南路１５９號１樓,19227,121.5077585,25.035249,348616.335,2769923.692
全家郡王店,223719902,台北市中正區延平南路６８號,14239,121.5103524,25.0450463,348890.013,2771005.9
全家台六宿舍店,233226216,台北市中正區徐州路２之２號１Ｆ,60054,121.5207535,25.0411999,349934.78,2770568.383
全家善導寺店,223964652,台北市中正區忠孝東路一段９號１樓,60189,121.523565,25.0449952,350223.043,2770985.629
全家兆豐店,223418109,台北市中正區忠孝東路二段９３號１樓,58710,121.5309479,25.0431607,350965.736,2770774.344
全家鴻啟店,223142878,台北市中正區忠孝西路一段１００號,18916,121.5126107,25.047133,349120.406,2771234.504
全家凱撒店,223898803,台北市中正區忠孝西路一段３８號１樓（部份）,58141,121.5164263,25.0461917,349504.234,2771126.025
全家北車店,289411871,台北市中正區忠孝西路一段４５號１Ｆ部分,59102,121.5178865,25.0463586,349651.762,2771142.895
全家亞慶店,223706675,台北市中正區忠孝西路一段５０號１樓,56918,121.5157638,25.0461226,349437.307,2771119.105
全家教育大學店,223888317,台北市中正區愛國西路１號,56575,121.5142953,25.0356043,349276.354,2769955.787
全家西站店,223120577,台北市中正區懷寧街７之１號,10886,121.5142789,25.0462152,349287.601,2771131.005
全家文祥店,223914884,台北市中正區杭州南路一段１４７號,11059,121.5246559,25.0359278,350322.161,2769980.18
全家富邦店,223513120,台北市中正區杭州南路一段１９號１Ｆ,60254,121.5266225,25.0426274,350528.674,2770720.024
全家林森南路店,223519110,台北市中正區林森南路５７．５９號,10062,121.5221471,25.0398908,350073.809,2770421.859
全家新龍口店,223047184,台北市中正區汀州路一段２４４號,52543,121.5103399,25.0272042,348867.003,2769029.828
全家文盛店,223681345,台北市中正區汀州路三段１７３號,11178,121.5325205,25.0150324,351090.638,2767657.32
全家公館店,223688539,台北市中正區汀州路三段２５１號,10053,121.5343786,25.0136888,351276.547,2767506.482
全家水源店,223642257,台北市中正區汀州路三段２６１號,11471,121.5352303,25.0128419,351361.487,2767411.756
全家金門店,223642756,台北市中正區汀州路二段２１６號１樓,19851,121.5238063,25.0223269,350220.01,2768474.767
全家新廈門店,223681443,台北市中正區汀州路二段３８號１樓,54051,121.5176064,25.0252771,349597.93,2768808.347
全家漢盛店,223117024,台北市中正區漢口街一段１８號,55850,121.5144049,25.0450598,349298.909,2771002.9
全家齊東店,223942076,台北市中正區濟南路二段３－７號１樓,11410,121.5265853,25.0416088,350523.693,2770607.251
全家福昌店,223913137,台北市中正區福州街１０號１樓（部份）,57358,121.5200055,25.0294673,349845.1,2769269.779
全家羅館店,223675612,台北市中正區羅斯福路三段２４４巷７號１樓,61353,121.5307609,25.016874,350915.273,2767863.208
全家館中店,223672204,台北市中正區羅斯福路三段３１６巷８弄１號１樓,14450,121.5326324,25.0157915,351102.842,2767741.271
全家金安店,223654620,台北市中正區羅斯福路三段８號１＋２樓,58768,121.5248121,25.0234,350322.803,2768592.51
全家羅安店,223654518,台北市中正區羅斯福路二段１４０號１樓,58528,121.522937,25.025806,350136.488,2768861.046
全家羅斯店,223962007,台北市中正區羅斯福路２段６２號１樓,58140,121.5217742,25.0275299,350021.233,2769053.255
全家衡慶店,223820271,台北市中正區衡陽路７號１樓部分（如附圖）,57203,121.513769,25.042422,349231.541,2770711.457
全家新衡陽店,223711130,台北市中正區衡陽路７７號一樓,56722,121.511041,25.0423439,348956.196,2770705.833
全家富陽店,223754181,台北市中正區襄陽路７號１樓,12933,121.5158121,25.0436342,349439.157,2770843.451
全家昌盛店,223123067,台北市中正區許昌街１４號１Ｆ,61213,121.5167853,25.0454177,349539.515,2771039.904
全家辛館店,223688257,台北市中正區辛亥路一段１３號,61688,121.5279164,25.0190298,350630.806,2768105.087
全家機場捷運店,223311029,台北市中正區鄭州路８號Ｂ１樓,61597,121.5142266,25.0487218,349285.373,2771408.679
全家重慶店,223122797,台北市中正區重慶南路一段５８號,14199,121.513106,25.043901,349166.445,2770875.998
全家開封店,223709020,台北市中正區開封街一段４１號１樓,16474,121.51255,25.046128,349113.058,2771123.264
全家北盛店,223612673,台北市中正區青島西路１３號,62091,121.5176335,25.0450638,349624.665,2770999.77
全家新仟囍店,223822831,台北市中正區館前路３６號１樓,54430,121.5147991,25.0446152,349338.142,2770953.222
