name,tel,address,商店編號,lng,lat,X,Y
全家湖安店,226591427,台北市內湖區內湖路一段２８５巷１９號１樓,10876,121.5669829,25.0829709,354648.253,2775144.442
全家碧湖店,226277149,台北市內湖區內湖路一段５９３號一樓及地下室,15331,121.5733563,25.0809546,355288.734,2774914.329
全家麗水店,226272956,台北市內湖區內湖路一段７３３號１樓,56568,121.5781871,25.0791388,355773.874,2774708.089
全家麗山店,226279495,台北市內湖區內湖路一段７３７巷４９號,10188,121.579035,25.080342,355860.799,2774840.447
全家陽湖店,226277102,台北市內湖區內湖路一段９１巷４號１樓,57818,121.56156,25.084811,354103.453,2775354.051
全家台塑店,227940810,台北市內湖區南京東路六段３７０號,62836,121.5878794,25.0594936,356728.766,2772522.09
全家精英店,226579148,台北市內湖區堤頂大道二段２４１號壹樓,16748,121.5672366,25.0786692,354668.79,2774667.745
全家新瑞店,226592842,台北市內湖區堤頂大道２段４０７巷２６號一樓,15377,121.563427,25.081055,354287.338,2774936.059
全家東安店,226345521,台北市內湖區安康路４８０號,11264,121.6158416,25.0678598,359559.111,2773419.493
全家紫新店,227940091,台北市內湖區康寧路ㄧ段３７號ㄧ樓,56456,121.5589651,25.0852396,353842.233,2775404.309
全家康雲店,227940805,台北市內湖區康寧路一段１１６號及地下室,55810,121.593333,25.0794499,357301.931,2774726.556
全家東茂店,226317208,台北市內湖區康寧路三段１８９巷１２號１樓,60130,121.6126635,25.0702985,359241.295,2773692.869
全家湖東店,226316023,台北市內湖區康樂街１１０巷１５號,62617,121.618459,25.0707876,359826.452,2773741.05
全家康福店,226339860,台北市內湖區康樂街８７號,14453,121.6188527,25.0696639,359864.893,2773616.193
全家湖興店,287926469,台北市內湖區成功路二段３２０巷２８號１樓,61254,121.589295,25.0675351,356880.865,2773411.212
全家鑫三總店,287917684,台北市內湖區成功路二段３２５號Ｂ１Ｆ,63658,121.5928527,25.0716694,357244.514,2773865.354
全家湖捷店,227946716,台北市內湖區成功路四段１７８號１樓,58313,121.5938554,25.0835882,357359.393,2775184.333
全家德湖店,287923344,台北市內湖區成功路四段６２號１樓及Ｂ１,57622,121.5925068,25.0827071,357222.354,2775088.165
全家紫陽店,287519703,台北市內湖區文德路２１２號,14132,121.5839876,25.0782428,356357.905,2774602.711
全家瑞陽店,226597471,台北市內湖區文德路９０巷４９號,12171,121.5834657,25.0772411,356304.1,2774492.322
全家湖茂店,227978682,台北市內湖區文湖街２１巷７號１樓,61291,121.5601355,25.0870375,353962.403,2775602.174
全家文湖店,227973433,台北市內湖區文湖街５９號,14540,121.5626777,25.0868174,354218.55,2775575.067
全家興盛店,227903667,台北市內湖區新明路１８２號,11482,121.5853369,25.0574596,356469.918,2772299.501
全家行美店,227945755,台北市內湖區新明路３７６號,62741,121.580523,25.0549193,355981.323,2772023.246
全家新湖店,227937065,台北市內湖區新湖二路２５０巷８號１樓,12915,121.582506,25.0648484,356192.905,2773120.817
全家星湖店,227906271,台北市內湖區星雲街１６１巷１號,52945,121.5962599,25.0809091,357598.832,2774885.095
全家民善店,287922468,台北市內湖區民善街１號１樓,57999,121.5771275,25.0575383,355641.817,2772316.906
全家內華店,227911354,台北市內湖區民權東路六段１６２號,14448,121.5917815,25.0685084,357132.814,2773516.392
全家湖洲店,226308735,台北市內湖區民權東路六段２９６巷７０號１樓,61293,121.6089497,25.0702071,358866.572,2773686.596
全家三民店,227942827,台北市內湖區民權東路六段９０巷１號,10035,121.5861291,25.0687168,356562.874,2773545.424
全家內科店,287511523,台北市內湖區洲子街６１號１樓（部份）,57501,121.5729685,25.0797811,355248.246,2774784.774
全家瑞湖店,287524016,台北市內湖區港墘里瑞光路５１３巷３９號１樓,16082,121.5704091,25.0800293,354990.382,2774814.991
全家港華店,287975015,台北市內湖區港華街４０號１樓,59373,121.5749072,25.0829932,355447.546,2775138.459
全家瑞豐店,287514934,台北市內湖區瑞光路２２０號,57978,121.575935,25.075456,355542.416,2774302.601
全家瑞亞店,226573023,台北市內湖區瑞光路３０２號１樓,59030,121.5742574,25.0764761,355374.39,2774417.364
全家瑞興店,226591468,台北市內湖區瑞光路３０３號,55849,121.5760146,25.0758654,355550.923,2774347.859
全家瑞智店,287518611,台北市內湖區瑞光路４３３號１樓,58709,121.570382,25.0786547,354986.038,2774662.779
全家瑞光店,287514993,台北市內湖區瑞光路５１０號１樓,12253,121.5676585,25.0794177,354712.224,2774750.193
全家瑞盛店,287926581,台北市內湖區瑞光路６６巷４０號,55393,121.5809133,25.0696006,356037.762,2773648.82
全家陽鑫店,226593732,台北市內湖區瑞湖街８０號１樓Ｒ３、Ｒ４　,58636,121.5759688,25.0725545,355542.439,2773981.217
全家新環山店,228839401,台北市內湖區環山路一段７號１樓,62274,121.5656867,25.0828659,354517.391,2775134.201
全家金莊店,227941829,台北市內湖區石潭路６７號１樓,54027,121.587078,25.0628977,356651.858,2772899.946
全家堤頂店,287989969,台北市內湖區舊宗路二段２０７號１樓（部份）,58160,121.57402,25.07323,355346.651,2774058.102
全家行善公宅店,287926725,台北市內湖區行善路２６２號１樓,62211,121.5816131,25.0599974,356097.196,2772584.503
全家明美店,227941977,台北市內湖區金莊路８６號１樓,58807,121.5873902,25.0633483,356683.874,2772949.522
全家陽盛店,226579844,台北市內湖區陽光街３５３號１樓,60464,121.5772287,25.072834,355669.853,2774010.834
全家湖山店,226572616,台北市內湖區麗山街３４８巷１０弄２號,11845,121.5734808,25.0821826,355302.728,2775050.201
