name,tel,address,商店編號,lng,lat,X,Y
全家三合店,228946764,台北市北投區三合街一段１１６號１樓,59263,121.5041984,25.1270086,348369.609,2780090.485
全家鑫復中店,225239913,台北市北投區中和街３２２號,62389,121.499786,25.141102,347942.078,2781656.351
全家新和店,228912821,台北市北投區中和街４８９號,52067,121.4951934,25.1451129,347484.023,2782105.743
全家新復興崗店,228910617,台北市北投區中央北路三段４號１樓,55782,121.4866126,25.1384645,346610.692,2781379.075
全家文化店,228976316,台北市北投區中央北路二段９７號１樓,10833,121.495158,25.136842,347470.23,2781189.73
全家義忠店,228945003,台北市北投區中央北路四段２９８號,62888,121.4729713,25.1313457,345226.449,2780606.126
全家中央南路店,228911712,台北市北投區中央南路２段１５號１樓,57247,121.5005383,25.125821,347999.104,2779963.048
全家清江店,228970433,台北市北投區中央里清江路１號，中央南路一段６３號,12774,121.5014454,25.1317464,348097.858,2780618.304
全家甲桂林店,228725427,台北市北投區中山北路七段２１９巷３弄１７１號壹樓,55397,121.5308013,25.1285452,351053.785,2780231.191
全家永興店,228947414,台北市北投區中庸里永興路一段１號、３號一樓,12462,121.4994013,25.1388601,347900.53,2781408.479
全家北投店,228941595,台北市北投區光明路２１８之１號,10343,121.5042869,25.136169,348389.784,2781104.952
全家光明店,228966631,台北市北投區光明路２３號，２５號,11789,121.4991751,25.132645,347870.063,2780720.374
全家新奇岩店,228947281,台北市北投區公館路２３０號,53428,121.5079336,25.1263293,348745.392,2780011.077
全家大同店,228919974,台北市北投區大業路４５２巷３１號,14441,121.4972302,25.1321269,347673.331,2780665.175
全家大業店,228964457,台北市北投區大興街２２號,11030,121.4984261,25.1298638,347791.117,2780413.181
全家尊賢店,228271417,台北市北投區尊賢街２６０號１Ｆ,10650,121.5071973,25.1173393,348660.135,2779016.208
全家振華店,228232410,台北市北投區振華街２號,14514,121.5200142,25.1156487,349950.489,2778814.729
全家北護店,228212508,台北市北投區明德路３６５號教學研究大樓一樓,61019,121.5210206,25.1185042,350055.438,2779129.877
全家東華店,228232256,台北市北投區東華街二段８８號,11881,121.5137377,25.1177103,349320.097,2779050.018
全家富貴店,228237199,台北市北投區榮華三路３之１號１樓,60818,121.5240472,25.1136705,350354.77,2778591.18
全家崇合店,228972076,台北市北投區清江里三合街二段４８７號１樓,12577,121.5012904,25.1261553,348075.35,2779999.231
全家行勝店,228586707,台北市北投區知行路２９８號１樓,56300,121.4675125,25.1219657,344664.258,2779573.471
全家榮光店,228217765,台北市北投區石牌路一段１６６巷９３號,50942,121.5151727,25.1124033,349458.33,2778460.648
全家北榮店,228766755,台北市北投區石牌路二段２０１號,54647,121.5222656,25.1222532,350185.525,2779543.722
全家東榮店,228742808,台北市北投區石牌路二段２０１號（長青樓大樓）,62693,121.5188839,25.1211377,349843.185,2779423.914
全家華勝店,228217248,台北市北投區石牌路２段８８之１號１樓,56961,121.5164481,25.1169631,349592.493,2778964.254
全家明德店,228239507,台北市北投區石牌里明德路９３號,11702,121.5188675,25.1090864,349826.883,2778089.191
全家榮岩店,228978095,台北市北投區磺港路２６１號１樓,61479,121.5031725,25.1238138,348262.243,2779737.79
全家關渡慈濟店,223820683,台北市北投區立德路８號（二樓部分）,62148,121.472336,25.1238186,345152.953,2779773.176
全家立賢店,228202721,台北市北投區立賢里承德路七段２９０號,12130,121.5053197,25.1164935,348469.767,2778924.627
全家新自強店,228212852,台北市北投區自強街１１６號１樓,56560,121.5155216,25.1107734,349491.527,2778279.741
全家東陽店,228212319,台北市北投區西安街一段２８３號,14336,121.516698,25.1120094,349611.662,2778415.33
全家華儷店,229266847,台北市北投區西安街二段２０３號１樓,62256,121.5100101,25.1197404,348946.704,2779279.007
全家中永店,228949813,台北市北投區開明里中和街２５２號一樓,12460,121.5008779,25.1399773,348050.775,2781530.56
