name,tel,address,商店編號,lng,lat,X,Y
全家工業一店,226550313,台北市南港區三重路１９－７號內之一部份,53755,121.6137086,25.0571469,359331.783,2772235.231
全家工業三店,227833949,台北市南港區三重路６６之２號１樓,16966,121.6151362,25.0574419,359476.137,2772266.427
全家宏展店,226539324,台北市南港區三重路６６號１樓,58852,121.614302,25.0571105,359391.605,2772230.586
全家德民店,226536783,台北市南港區八德路四段７６８巷９號１樓,62993,121.5803904,25.049727,355961.91,2771448.328
全家港成店,226548729,台北市南港區南港路三段２號,53077,121.5930487,25.054544,357244.55,2771968.478
全家南港公宅店,226546142,台北市南港區南港路二段３８巷６之２號,59213,121.6047706,25.0547743,358427.381,2771981.734
全家小彎公宅店,227836507,台北市南港區向陽路２５６號１樓,61647,121.593695,25.0580659,357313.808,2772357.857
全家工業二店,226558763,台北市南港區園區街３號２樓之７,15117,121.6118825,25.0584861,359149.083,2772385.439
全家富康店,227821423,台北市南港區富康街８６號１Ｆ,10559,121.6169066,25.0519543,359648.525,2771656.842
全家南港生技店,226534024,台北市南港區忠孝東路七段５０８之７號１樓,62962,121.6099135,25.0522286,358943.324,2771694.453
全家港忠店,226511449,台北市南港區忠孝東路七段６３５號１樓,60526,121.615953,25.0533168,359553.863,2771808.725
全家新昆陽店,227883495,台北市南港區昆陽街１４５號,52236,121.5941934,25.0501261,357354.949,2771477.987
全家向陽店,227887390,台北市南港區東新里重陽路１６號一樓,15287,121.5959136,25.0551165,357534.235,2772028.88
全家新成鑫店,227853529,台北市南港區玉成街１７６巷１號,52157,121.5843134,25.0443493,356351.469,2770848.59
全家港運店,227857667,台北市南港區玉成街５２巷２弄７號一樓,60109,121.5813421,25.0477015,356055.575,2771222.993
全家中研店,227839381,台北市南港區研究院路二段１２巷５５號１樓,59031,121.613935,25.047711,359343.914,2771189.961
全家研究院店,226515140,台北市南港區研究院路２段７０巷１號,14429,121.6150046,25.0458652,359449.734,2770984.432
全家港福店,226543532,台北市南港區福德街３７３巷６３號１樓,16553,121.5922369,25.0394789,357145.291,2770300.845
全家大聯大店,226510364,台北市南港區經貿二路１９１號一樓,60111,121.6161053,25.0608537,359577.769,2772643.287
全家京石店,227831176,台北市南港區經貿二路２３５巷３８號１樓,63221,121.6151147,25.0614302,359478.492,2772708.158
全家中視店,227864176,台北市南港區興南街３９號１樓,11489,121.6014599,25.0561766,358094.986,2772140.491
全家興華店,227834076,台北市南港區興華路８６號,11826,121.6056456,25.0559319,358516.977,2772109.03
全家新莊研店,227853487,台北市南港區舊莊街一段１６９號,54856,121.6212636,25.0394356,360073.962,2770265.899
全家胡適店,227888455,台北市南港區舊莊街一段３巷１６號,50358,121.6181822,25.0423061,359766.303,2770586.98
全家國興店,227832665,台北市南港區舊莊街一段３巷３弄２號,14434,121.6188841,25.0430694,359837.984,2770670.794
全家重陽店,227893918,台北市南港區重陽路１８３、１８５號１樓,12952,121.5987604,25.0567525,357823.311,2772207.091
