name,tel,address,商店編號,lng,lat,X,Y
全家金慶店,225564600,台北市大同區南京西路３０８號１樓,56491,121.513377,25.053872,349205.924,2771980.027
全家京鋒店,225587692,台北市大同區南京西路６１號１樓,58045,121.519236,25.053104,349796.097,2771888.484
全家大龍店,225980054,台北市大同區大龍街１３３號１樓,14447,121.5161886,25.0674037,349506.026,2773475.606
全家蘭州店,225995380,台北市大同區大龍街２１７號１樓,16641,121.5159995,25.0705817,349490.814,2773827.793
全家太陽店,225507907,台北市大同區太原路１５３號１樓,59755,121.5166957,25.055248,349542.413,2772128.749
全家泰元店,225592980,台北市大同區太原路８１號,56215,121.5157275,25.0517999,349440.543,2771747.929
全家寧夏店,225500930,台北市大同區寧夏路２８，３０，２８—１，２８—２號,11023,121.5150634,25.0558713,349378.493,2772199.589
全家國順店,225919787,台北市大同區延平北路三段１１８號１樓,14516,121.5108186,25.0673463,348964.245,2773475.205
全家永樂店,225529571,台北市大同區延平北路二段２６０號之１　,50875,121.511266,25.060467,349000.989,2772712.795
全家龍泉店,285961664,台北市大同區延平北路四段６２號１樓,60985,121.510802,25.0704909,348966.407,2773823.502
全家京承店,225508721,台北市大同區承德路一段２９號１樓,61900,121.5173002,25.0509419,349598.171,2771651.162
全家日新店,225505051,台北市大同區承德路二段３９＆４１號１樓,14515,121.5184133,25.0549924,349715.386,2772098.541
全家甘州店,225505587,台北市大同區歸綏街１８１之２號,50716,121.513269,25.0582942,349200.412,2772469.925
全家權澤店,225506916,台北市大同區民權西路１１０號１樓及夾層,59306,121.5170177,25.0627151,349583.967,2772955.406
全家福澤店,225572577,台北市大同區民權西路１４６號,11099,121.5158454,25.0627453,349465.741,2772960.048
全家萬全店,225576965,台北市大同區民生西路６３號,11354,121.5201341,25.0577399,349892.323,2772400.937
全家迪化街店,285902267,台北市大同區迪化街一段４２號１、２樓,62002,121.509978,25.054875,348864.228,2772094.887
全家鑫泉店,225986829,台北市大同區酒泉街２２７號１樓,59021,121.511258,25.0722453,349014.546,2774017.303
全家慶國店,225950170,台北市大同區重慶北路三段２７８之２號１樓,61468,121.5135823,25.072639,349249.486,2774058.327
全家龍昌店,225919144,台北市大同區重慶北路三段３２７號１樓（如附圖）,59247,121.5140679,25.0744433,349300.666,2774257.623
全家慶權店,225578978,台北市大同區重慶北路二段２６３號１樓,12707,121.5138427,25.0627427,349263.704,2772961.979
全家福山店,225526380,台北市大同區長安西路２５號１樓全部,60511,121.519961,25.0503304,349865.88,2771580.496
全家長慶店,225507756,台北市大同區長安西路２５８號１樓,57719,121.5133563,25.0516043,349201.075,2771728.893
全家玉泉店,225522657,台北市大同區長安西路３４２號１樓,57525,121.5102772,25.0519359,348890.828,2771769.036
全家福安店,225509755,台北市大同區長安西路５４號１樓,14437,121.5198762,25.0501431,349857.097,2771559.846
