name,tel,address,商店編號,lng,lat,X,Y
全家三富店,227677510,台北市松山區三民路１４８號,18798,121.5633311,25.0610803,354254.153,2772723.906
全家京民店,227422080,台北市松山區三民路６號＋Ｂ１,52667,121.5639817,25.0521035,354309.23,2771729.004
全家慶城店,225464461,台北市松山區中正里慶城街８號,12710,121.544857,25.052626,352380.389,2771807.492
全家常興店,225464600,台北市松山區五常街３６４號１樓,16377,121.5449088,25.0642512,352399.468,2773094.965
全家康柏店,227604612,台北市松山區健康路２２０號,19308,121.5614413,25.0538007,354054.932,2771919.697
全家民康店,227457090,台北市松山區健康路２８５號１樓,57248,121.563995,25.054313,354313.17,2771973.698
全家大理店,227473064,台北市松山區光復北路１１巷５０號１樓,10572,121.5600167,25.0498405,353906.54,2771482.623
全家新德光店,225780506,台北市松山區光復南路３２巷４６－４號,53740,121.5543059,25.0461876,353326.052,2771084.199
全家台發店,225781936,台北市松山區八德路三段３０號壹樓（如附圖）,58139,121.551529,25.0480786,353048.123,2771296.629
全家中發店,225793662,台北市松山區八德路三段７４巷１０號１．２樓如附圖,58851,121.5524808,25.047775,353143.792,2771261.977
全家復盛店,227619127,台北市松山區八德路四段４０號．４２號,14193,121.5592213,25.0482148,353824.374,2771303.427
全家寶清店,227532857,台北市松山區八德路四段５９８號１樓,12465,121.5727214,25.0497121,355188.168,2771454.819
全家松慈店,227466249,台北市松山區八德路四段６７６號,60556,121.5763166,25.0499063,355551.114,2771472.505
全家力晶店,227213487,台北市松山區南京東路三段２５８號,16737,121.5448389,25.0515859,352377.324,2771692.317
全家新東光店,237652819,台北市松山區南京東路五段１２３巷１號１樓,54918,121.5606984,25.0519529,353977.806,2771715.845
全家京吉店,227478279,台北市松山區南京東路五段１８０號,55678,121.5634683,25.0510431,354256.187,2771612.112
全家新東寶店,227605928,台北市松山區南京東路五段２９１巷１４號,53920,121.5660664,25.0523095,354519.794,2771749.588
全家大盛店,227650089,台北市松山區南京東路五段６６巷２弄１之１號１樓,11464,121.5604933,25.0508091,353955.766,2771589.387
全家新健康店,225462607,台北市松山區南京東路四段１３３巷９弄２號,52235,121.5552486,25.0532357,353429.501,2771863.78
全家京兆店,227121962,台北市松山區南京東路四段１３７號壹樓,62679,121.5553266,25.0518323,353435.71,2771708.266
全家京鑽店,225460775,台北市松山區南京東路四段４７號壹樓,57769,121.5508247,25.0519256,352981.629,2771723.457
全家京盛店,225795737,台北市松山區南京東路四段５６－１號１樓,55030,121.553727,25.051479,353273.91,2771670.861
全家新大吉店,227489223,台北市松山區吉祥路１９號,53561,121.5627064,25.0493777,354177.36,2771428.481
全家微風店,287719880,台北市松山區市民大道四段５１號１樓,12002,121.546099,25.0453402,352497.02,2770999.22
全家長城店,227176687,台北市松山區敦化北路１２０巷８０號,14267,121.5462734,25.0543735,352525.367,2771999.497
全家宏勝店,225455887,台北市松山區敦化北路１５３號１樓,60647,121.5494742,25.0541054,352847.968,2771966.337
全家宏大店,227183704,台北市松山區敦化北路１５５巷３號１樓,10576,121.5497368,25.0541633,352874.529,2771972.466
全家敦中店,287716763,台北市松山區敦化北路４巷１號,51718,121.547364,25.0500679,352630.274,2771521.456
全家新東店,227653580,台北市松山區新東街１４號,10989,121.5662001,25.0578474,354539.784,2772362.782
全家富錦店,227455196,台北市松山區新益里富錦街５２９號一樓,15722,121.5654539,25.0612808,354468.539,2772743.838
全家松醫店,227600199,台北市松山區東光里健康路１５８號,12121,121.55785,25.053378,353692.118,2771876.74
全家興北店,227150977,台北市松山區民權東路三段１０３巷１５—１號,11539,121.5450716,25.0635244,352415.025,2773014.293
全家復北店,225468878,台北市松山區民權東路三段１０４號壹樓及地下室,58478,121.5448359,25.0618164,352389.212,2772825.382
全家新民有店,287129937,台北市松山區民權東路三段１６０巷１１號,52774,121.5478006,25.0606677,352686.927,2772694.945
全家豐華店,227123226,台北市松山區民生東路三段１１３巷６弄１號一樓,16991,121.5460327,25.0586579,352506.185,2772474.269
全家豐禾店,227126702,台北市松山區民生東路三段１３０巷５弄２號,10142,121.5463277,25.0569252,352533.883,2772282.047
全家豐興店,225471001,台北市松山區民生東路三段１３０巷５弄２２號,11417,121.5471293,25.0569233,352614.75,2772280.968
全家松民店,237652608,台北市松山區民生東路五段１５９號,56542,121.5624961,25.0591144,354167.603,2772507.072
全家昇東店,227491649,台北市松山區民生東路五段１９７號,52234,121.566196,25.0593693,354541.158,2772531.341
全家富泰店,227460211,台北市松山區民生東路五段２０４－３號一樓,60127,121.564772,25.0582051,354396.133,2772403.926
全家東豐店,227612771,台北市松山區民生東路五段３７號,54527,121.5568944,25.0585487,353601.82,2772450.438
全家鑫民復店,225473532,台北市松山區民生東路四段８０巷１弄２號,62442,121.5531171,25.057548,353219.568,2772343.679
全家中央店,225460351,台北市松山區民生東路四段９５號,10260,121.5519872,25.0582031,353106.356,2772417.453
全家松壽店,227474015,台北市松山區自強里延壽街３３０巷７弄２２號一樓,15776,121.5618412,25.0552597,354096.995,2772080.856
全家長復店,227500001,台北市松山區長安東路二段２１９號,14281,121.5449043,25.0482805,352379.984,2771326.163
