name,tel,address,商店編號,lng,lat,X,Y
全家長泰店,223034841,台北市萬華區壽德里長泰街２號２之１號一樓,15541,121.5014236,25.0231497,347962.286,2768590.704
全家新富民店,223070071,台北市萬華區富民路９１巷８號１樓,55943,121.4992297,25.0189877,347735.783,2768132.197
全家寶元店,223099925,台北市萬華區寶興街４０號,14195,121.4932876,25.0272176,347146.264,2769050.353
全家寶興店,223013308,台北市萬華區寶興街７８號,10056,121.4942159,25.026091,347238.551,2768924.535
全家萬國店,223894642,台北市萬華區峨眉街２１號１樓,10602,121.507437,25.04353,348594.009,2770841.205
全家新峨嵋店,223711411,台北市萬華區峨眉街８２號１樓,52625,121.504065,25.044116,348254.502,2770909.864
全家康華店,223027338,台北市萬華區康定路２２９號１樓,58618,121.5013574,25.0353773,347970.597,2769945.037
全家康勝店,223821077,台北市萬華區康定路６０號１樓,56682,121.5022114,25.0425399,348065.548,2770737.373
全家康定店,223899260,台北市萬華區康定路７３號,10720,121.5022119,25.0406509,348063.283,2770528.157
全家康陽店,223812716,台北市萬華區康定路９９號,55851,121.5020354,25.039647,348044.243,2770417.168
全家龍廣店,223026434,台北市萬華區廣州街２０３號１．２樓,57328,121.5003595,25.0367317,347871.567,2770096.158
全家新廣州店,223027354,台北市萬華區廣州街２３５－１號,54858,121.4986134,25.0368372,347695.51,2770109.796
全家和西店,223080749,台北市萬華區愛鄉里和平西路三段２９０之５號、２９０,16064,121.4947867,25.0352563,347307.438,2769938.993
全家鑫都店,223885903,台北市萬華區成都路７１號１樓,59036,121.50561,25.042955,348408.967,2770779.556
全家成都店,223758507,台北市萬華區昆明街１３４號；成都路８６號,12553,121.5046866,25.0427821,348315.587,2770761.436
全家廣明店,223115442,台北市萬華區昆明街１７３號１樓,59958,121.5043309,25.0398411,348276.098,2770436.104
全家昆明店,223705910,台北市萬華區昆明街１８６號１樓,12491,121.5044101,25.0414219,348286.024,2770611.096
全家萬東店,223077891,台北市萬華區東園街１７４號１樓,54170,121.4980207,25.0223591,347617.915,2768506.946
全家鑫吉利店,223378557,台北市萬華區東園街２８巷３４號,56130,121.4950732,25.0268498,347325.997,2769007.614
全家東園店,223327420,台北市萬華區東園街６９號,10211,121.4965415,25.0260297,347473.156,2768915.138
全家桂林店,223318161,台北市萬華區桂林路２３號１樓,52446,121.5050848,25.0379576,348349.862,2770226.658
全家民和店,223039216,台北市萬華區民和街９號１樓,54559,121.4998873,25.0262658,347811.076,2768937.542
全家漢中店,223141275,台北市萬華區漢中街１３９號１樓,14443,121.5073529,25.041721,348583.314,2770640.944
全家萬中店,223887636,台北市萬華區漢口街二段２２號,55246,121.5079625,25.0452873,348649.177,2771035.249
全家萬明店,223119635,台北市萬華區漢口街二段６７之２號１樓,57790,121.5054825,25.0460827,348399.929,2771126.105
全家綠堤店,223041210,台北市萬華區環河南路二段１７３號,16464,121.4923968,25.0328837,347063.361,2769678.9
全家環南店,223026891,台北市萬華區環河南路二段２９８號,10899,121.49071,25.031562,346891.52,2769534.413
全家園寶店,223035528,台北市萬華區興義街５１號１樓,63651,121.4915592,25.0263505,346970.779,2768956.26
全家新武成店,223326103,台北市萬華區萬大路４８６巷５９弄１號１樓,55945,121.4959238,25.0203995,347403.897,2768292.261
全家萬大店,223040610,台北市萬華區萬大路６４號１樓,58487,121.5003898,25.0310196,347867.615,2769463.484
全家萬園店,223040410,台北市萬華區西園路一段１５９號壹樓,55429,121.4994685,25.0349993,347779.535,2769905.284
全家萬年店,223883343,台北市萬華區西寧南路１５５號１樓,12307,121.506284,25.0435309,348477.676,2770842.589
全家西寧南路店,225469055,台北市萬華區西寧南路３１－１號,62613,121.507602,25.047809,348615.885,2771314.939
全家貴陽店,223891854,台北市萬華區貴陽街二段１８２號，１８４號,11362,121.5005795,25.0401147,347897.916,2770470.595
全家日祥店,223331039,台北市萬華區青年路１５４號、１６８巷２弄１４號１樓,12867,121.5023553,25.0211159,348053.816,2768364.412
全家公園店,223051904,台北市萬華區青年路４８號,10329,121.5040744,25.0255502,348232.726,2768853.612
