name,tel,address,商店編號,lng,lat,X,Y
全家基隆鑫港店,224275332,基隆市中正區中正路１８號壹樓,58850,121.7446275,25.1327203,372616.81,2780475.849
全家基隆新祥豐店,224627260,基隆市中正區中正路６２３號壹樓,50945,121.7720215,25.1513922,375397.425,2782518.296
全家基隆正港店,224636316,基隆市中正區中正路６４４號,51312,121.7670724,25.1509983,374898.15,2782479.227
全家基隆新中船店,224245729,基隆市中正區中船路８２號,55941,121.7510677,25.1373752,373270.868,2780985.343
全家基隆海洋店,224636575,基隆市中正區北寧路２號,54185,121.7755731,25.15044,375754.473,2782409.585
全家基隆富港店,224699625,基隆市中正區北寧路２５０－８號１．２樓,57090,121.7835347,25.14594,376552.52,2781903.954
全家基隆新和一店,224635157,基隆市中正區和一路１１０號,50693,121.7659857,25.1550385,374792.705,2782927.674
全家基隆欣豐店,224699472,基隆市中正區新豐街３８１號,60465,121.7857215,25.135356,376762.405,2780729.815
全家基隆觀海店,224606545,基隆市中正區砂子里觀海街１３６號１３８號一樓,15620,121.7953931,25.1370406,377739.105,2780907.635
全家基隆二信店,224634966,基隆市中正區立德路２４３號壹樓,60866,121.7710117,25.1441754,375288.349,2781719.978
全家基隆新義二店,224267442,基隆市中正區義二路３４號,54086,121.745641,25.131001,372717.218,2780284.488
全家基隆觀山店,224607005,基隆市中正區觀海街６１號,55396,121.7942615,25.1383429,377626.315,2781052.881
