name,tel,address,商店編號,lng,lat,X,Y
全家基隆新國揚店,234012842,基隆市安樂區基金一路１２１巷１４號,19659,121.7177067,25.1379536,369908.229,2781080.966
全家基隆萬金店,224333875,基隆市安樂區基金一路１４６號之地下室,51473,121.7117666,25.1405257,369312.106,2781371.533
全家基隆情人湖店,224326530,基隆市安樂區基金一路２０８巷２００號Ｂ１,19021,121.7077922,25.1488964,368920.326,2782302.419
全家基隆新崙店,224313410,基隆市安樂區基金一路２０８巷９２之６號一樓,63252,121.7086489,25.1469107,369004.579,2782081.676
全家基隆基金店,224329658,基隆市安樂區基金三路１４５號,10992,121.695624,25.156585,367701.95,2783165.747
全家基隆新安和店,224341775,基隆市安樂區安和一街１２４號,55940,121.7237172,25.1258354,370501.469,2779733.139
全家基隆新樂強店,224254734,基隆市安樂區安樂路一段２０６號１樓,51475,121.7325695,25.1279638,371396.203,2779960.442
全家基隆長庚店,224326001,基隆市安樂區安樂路二段１５７號,11168,121.723563,25.120766,370480.611,2779171.855
全家基隆新樂群店,224337917,基隆市安樂區樂利三街１２８號,54212,121.7158013,25.1264037,369703.959,2779803.651
全家基隆樂利店,224322426,基隆市安樂區樂利三街３２巷１２號,54876,121.7125833,25.1268142,369379.943,2779852.206
全家基隆龍騰店,224334303,基隆市安樂區樂利三街８巷１６號底四層,52668,121.718364,25.129327,369965.414,2780124.947
全家基隆鑫樂富店,224349184,基隆市安樂區樂利二街６２巷２２５號,63062,121.7167088,25.1210288,369789.794,2779207.515
全家基隆武嶺店,224335573,基隆市安樂區武嶺街１８１－６號１樓,15416,121.710153,25.138677,369147.478,2781168.345
全家基隆武勝店,224328788,基隆市安樂區武訓街７２號壹樓　　,57246,121.699591,25.1484709,368093.149,2782263.246
全家基隆長樂店,224331198,基隆市安樂區麥金路２２２號地下一樓（基隆長庚醫院）,16787,121.7224004,25.1206948,370363.314,2779165.079
全家基隆金城店,234012667,基隆市安樂區麥金路２３１－１號,56298,121.7212143,25.1219734,370245.064,2779307.816
