name,tel,address,商店編號,lng,lat,X,Y
全家三峽金寶店,286714922,新北市三峽區中山路２４０號,10995,121.3624212,24.9375125,333820.199,2759268.105
全家三峽新莉雅店,226741580,新北市三峽區二鬮路５９之１號１樓,52793,121.359866,24.9076856,333522.29,2755967.66
全家三峽新介壽店,286766209,新北市三峽區介壽路三段１７６號１樓,53562,121.4029249,24.9441264,337919.181,2759951.939
全家三峽大同店,286742229,新北市三峽區光明路１００之６號,10895,121.3757809,24.9280838,335156.884,2758207.611
全家三峽光明店,226749014,新北市三峽區光明路６號，８號１樓,10768,121.3730727,24.931236,334887.548,2758560.012
全家三峽錦隆店,286717821,新北市三峽區國光街１號１樓,50359,121.3755477,24.9367013,335144.743,2759162.343
全家三峽國寧店,286721143,新北市三峽區國學街３１．３３號,14403,121.3728173,24.9423229,334876.463,2759788.277
全家三峽金同店,286721784,新北市三峽區大同路１９６之１號１樓,50626,121.371242,24.92715,334697.236,2758109.672
全家三峽同發店,286714604,新北市三峽區大同路３－１號１樓及地下層全部,18655,121.377809,24.9290168,335362.947,2758308.501
全家三峽福容店,226728452,新北市三峽區大學路８１號１樓,51468,121.375873,24.9414737,335183.915,2759690.529
全家三峽大德店,235012620,新北市三峽區大德路４８３號１樓,50095,121.3742664,24.9476099,335029.809,2760372.1
全家三峽觀成店,286723040,新北市三峽區大觀路８０號１樓,14525,121.3741416,24.9462616,335015.419,2760222.916
全家三峽大學店,286721732,新北市三峽區學勤路１號１樓,60626,121.3732657,24.9458169,334926.38,2760174.721
全家三峽學勝店,286716146,新北市三峽區學勤路１６２號１樓,52934,121.3754344,24.9460864,335145.734,2760201.949
全家三峽和平店,226735218,新北市三峽區復興路１５７號１樓,18878,121.370761,24.9382919,334663.455,2759344.303
全家三峽恩主店,226714305,新北市三峽區復興路３７３、３７５號１樓,12763,121.3634006,24.9385003,333920.425,2759376.32
全家三峽復興店,226714174,新北市三峽區復興路５６號１樓,15372,121.3735439,24.937178,334943.015,2759217.562
全家三峽文化店,226728908,新北市三峽區文化路１１７號１樓,15242,121.3700792,24.9360247,334591.589,2759094.019
全家三峽大勇店,226734590,新北市三峽區文化路２５４號１樓,52576,121.367134,24.9359345,334294.035,2759087.601
全家三峽民權店,286711532,新北市三峽區民權街２３１號１樓,51422,121.3679283,24.9279987,334363.693,2758207.687
全家三峽峇里店,226736076,新北市三峽區鳶山里中山路３０３號一樓,16018,121.3612761,24.9376461,333704.736,2759284.297
全家三峽三樹店,226739736,新北市三峽區龍埔里三樹路２５７號２５９號一樓,15621,121.3790432,24.9431788,335506.31,2759875.556
