name,tel,address,商店編號,lng,lat,X,Y
全家三重厚德店,229815241,新北市三重區三和路三段１８６號１樓,54038,121.4920369,25.073508,347077.205,2774178.647
全家三重三安店,229819584,新北市三重區三和路三段４０號,53155,121.4961137,25.0706062,347484.867,2773852.676
全家三重龍和店,229762428,新北市三重區三和路三段５９號,18758,121.495083,25.071806,347382.375,2773986.717
全家三重福運店,222863881,新北市三重區三和路四段２５０號１樓,14972,121.486027,25.076753,346474.995,2774544.825
全家三重銀和店,222870339,新北市三重區三和路四段３９４號１樓,54449,121.481697,25.0792508,346041.334,2774826.371
全家三重三民店,229843629,新北市三重區三民街１１２號,11182,121.4849451,25.0633437,346349.217,2773060.896
全家三重新福田店,229823712,新北市三重區三民街２７０號１樓,51783,121.4790547,25.0680413,345760.838,2773587.853
全家三重富貴店,282876954,新北市三重區三賢街２０１號,14291,121.4855729,25.0866796,346441.512,2775644.765
全家三重陽光店,229717002,新北市三重區三陽路１１０號１樓,60360,121.4832008,25.0587286,346167.516,2772551.722
全家三重新三陽店,229718178,新北市三重區三陽路１３巷２號１樓,55679,121.4858582,25.0589226,346435.849,2772570.204
全家三重三佾店,229784888,新北市三重區中央北路５８號１樓,16546,121.5003989,25.0654904,347910.852,2773281.274
全家三重中央店,229744057,新北市三重區中央南路５１號１樓,56577,121.5012054,25.061719,347987.581,2772862.671
全家三重興南店,229742923,新北市三重區中央南路８號１樓,50286,121.5013295,25.0629983,348001.671,2773004.221
全家三重金勇店,229850689,新北市三重區中正北路３７８號１樓,52174,121.47672,25.0696239,345527.294,2773765.786
全家三重新正店,229720095,新北市三重區中正南路１８４號１樓,55946,121.4941856,25.0564485,347272.907,2772286.805
全家三重華山店,229879931,新北市三重區中華路２８號,50360,121.4833037,25.0610516,346180.783,2772808.89
全家三重華泰店,229874587,新北市三重區中華路５３號１樓,19827,121.4836594,25.0621235,346217.999,2772927.206
全家三重華興店,229876468,新北市三重區五華街４５號．４７號１樓,12622,121.4944511,25.0811639,347330.178,2775023.863
全家三重新五華店,229889750,新北市三重區五華街８３號１樓,62223,121.4921835,25.0832164,347103.99,2775253.739
全家三重谷王店,229995146,新北市三重區五谷王北街１７１號１樓,62727,121.476647,25.053372,345499.652,2771965.881
全家三重仁美店,282879284,新北市三重區仁美街１０４號,53640,121.4856468,25.0805861,346441.401,2774969.792
全家三重新仁義店,289859488,新北市三重區仁義街１６４號１樓,51369,121.496939,25.080901,347580.8,2774991.951
全家三重華義店,289859180,新北市三重區仁義街２４４號、富華街１９３號１樓,16326,121.4941362,25.0854788,347303.742,2775502.115
全家三重通華店,282875919,新北市三重區仁義街３１７號,19032,121.4954678,25.0843086,347436.608,2775371.013
全家三重仁興店,229937198,新北市三重區仁興街３９巷４１號１樓及地下室,60879,121.5000954,25.0760561,347893.22,2774451.817
全家三重興富店,285124587,新北市三重區光復路一段７０號１樓,54183,121.4719067,25.0495568,345016.63,2771548.721
全家三重群光店,229999287,新北市三重區光復路二段６９號１樓,55533,121.4726687,25.0564641,345102.149,2772312.875
全家三重力行店,229808615,新北市三重區力行路一段４０號,10926,121.4861794,25.067951,346479.449,2773569.784
全家三重頂崁店,229809001,新北市三重區博愛里２２鄰頂崁街２１０巷３１號１樓,12498,121.4756402,25.0682559,345416.659,2773615.5
全家三重車勇店,229868439,新北市三重區大勇街１號１樓,56941,121.4837707,25.0714569,346240.82,2773960.805
全家三重大同店,229841445,新北市三重區大同北路６號１樓,55115,121.4952343,25.0619498,347385.487,2772894.923
全家三重致學店,229869646,新北市三重區大智街１９７號１樓,19027,121.4893309,25.0735974,346804.353,2774191.597
全家三重大智店,229807923,新北市三重區大智街９４號,10353,121.493446,25.0663266,347210.48,2773381.685
全家三重環南店,229743620,新北市三重區成功路５２號，５４號，５６號１樓,11524,121.4888797,25.0506266,346730.408,2771647.971
全家三重環北店,229736779,新北市三重區成功里環河南路２５３號一樓,15838,121.4912491,25.0506505,346969.49,2771647.949
全家三重新運店,229879457,新北市三重區捷運路１９巷６弄２０號１樓,19629,121.4844601,25.0567563,346292.113,2772331.855
全家三重大榮店,229761842,新北市三重區文化北路１５號１樓,58198,121.4997963,25.0635973,347847.736,2773072.278
全家三重新文化店,229749186,新北市三重區文化南路３０號１樓,63031,121.5002694,25.0616327,347893.049,2772854.16
全家三重醫院店,229845054,新北市三重區新北大道一段３號前棟２樓,61729,121.4902027,25.0609301,346876.626,2772787.645
全家三重正義北店,229863442,新北市三重區正義北路２５３號１樓,63322,121.495799,25.0696707,347451.969,2773749.418
全家三重民生店,229809320,新北市三重區民生東街２號,11193,121.4925526,25.0683003,347122.793,2773601.287
全家三重永安店,228579121,新北市三重區永安北路二段１１號１樓,11893,121.4819811,25.0812985,346072.538,2775052.843
全家三重大勇店,229829253,新北市三重區永發里力行路二段２號一樓,15905,121.4817698,25.0719344,346039.574,2774015.956
全家三重福旺店,222863796,新北市三重區永福街１２３號１樓,14316,121.4789508,25.077165,345761.728,2774598.472
全家三重新永福店,222800071,新北市三重區永福街１２６號１樓,61648,121.4793775,25.0749803,345802.047,2774356.019
全家三重溪尾店,222867450,新北市三重區溪尾街１６０號１樓,10636,121.4887294,25.0800651,346751.689,2774908.607
全家三重福溪店,282873066,新北市三重區溪尾街５６號,11858,121.4903921,25.0777035,346916.48,2774645.173
全家三重田心店,229844120,新北市三重區田心里忠孝路三段５０巷８２號一樓,15757,121.483043,25.064616,346158.912,2773203.962
全家三重大橋店,229769363,新北市三重區福德南路１０號１樓,60117,121.5027851,25.0632705,348148.847,2773032.742
全家三重成功店,229742342,新北市三重區福德里成功路１４５巷４５號４７號一樓,15296,121.487929,25.0533759,346637.894,2771953.541
全家三重自立店,229863917,新北市三重區自強路三段１５號１樓,59470,121.4872384,25.0721562,346591.49,2774034.337
全家三重欣田店,289837451,新北市三重區自強路二段２４號,16720,121.489452,25.069137,346811.049,2773697.447
全家三重興德店,285124015,新北市三重區興德路１２３號,18656,121.4709046,25.0531977,344920.083,2771953.113
全家三重車路頭店,282839334,新北市三重區車路頭街１４０號１樓及地下室,52421,121.4839869,25.075742,346267.953,2774435.159
全家三重過圳店,229868554,新北市三重區過圳街３號１樓,16988,121.4890013,25.0588422,346752.841,2772557.753
全家三重菜寮店,229749493,新北市三重區重新路三段１２６號１樓,52257,121.4921496,25.059948,347071.823,2772676.681
全家三重重光店,229746074,新北市三重區重新路三段１７６號１樓,53419,121.490688,25.059088,346923.308,2772583.076
全家三重天台店,229744755,新北市三重區重新路二段７８號,16971,121.4974124,25.0619496,347605.218,2772892.458
全家三重中興店,229992889,新北市三重區重新路五段５９５，５９７號,10735,121.469568,25.0457574,344775.911,2771130.583
全家三重國泰店,229720115,新北市三重區重新路四段８９號重新第二大樓１樓,58822,121.486069,25.055625,346453.027,2772204.74
全家三重湯城店,229992495,新北市三重區重新路５段６０９巷１４號之７＆之８,18637,121.467594,25.0459724,344577.011,2771156.65
全家三重金陽店,289859597,新北市三重區重陽路一段７９號１樓,59209,121.486971,25.0588801,346548.062,2772564.24
