name,tel,address,商店編號,lng,lat,X,Y
全家中和左岸店,222264967,新北市中和區中原三街３號,63420,121.4876352,25.0101778,346554.801,2767169.476
全家中和金原店,282211769,新北市中和區中原街１２６號１樓,57078,121.485882,25.0110867,346378.985,2767272.117
全家中和新漳和店,222463806,新北市中和區中和路２４號１樓,55342,121.4996953,25.0018114,347761.703,2766229.331
全家中和中和店,232338551,新北市中和區中和路４８０號１Ｆ,10648,121.5126412,25.0041427,349071.182,2766473.128
全家中和中安店,229256006,新北市中和區中安街１９２號,10814,121.5113141,24.9990969,348931.1,2765915.758
全家中和中鼎店,229294187,新北市中和區中安里中安街８０號一樓,15959,121.5121856,25.0019929,349022.585,2766235.534
全家中和中環店,222267465,新北市中和區中山路三段１１１號１樓,15451,121.4747472,25.0058907,345248.734,2766709.241
全家中和環球店,232349461,新北市中和區中山路三段１２０之１１號,12894,121.473636,25.0083403,345139.638,2766981.809
全家中和中漢店,222239355,新北市中和區中山路三段１４６－２號,50946,121.4736931,25.0066945,345143.348,2766799.463
全家中和勝鴻店,282451477,新北市中和區中山路二段２巷４５弄１號１樓,52373,121.5024845,25.0068413,348049.377,2766783.298
全家中和威利店,222474176,新北市中和區中山路二段２９１號１樓,60551,121.4957431,25.0018849,347362.893,2766241.893
全家中和元氣店,222256901,新北市中和區中山路３段３９號２樓,14133,121.477696,25.005313,345545.634,2766641.911
全家中和和興店,222446249,新北市中和區中正路１１號，１３號,11379,121.5029951,24.9932931,348084.337,2765282.213
全家中和德民店,222214027,新北市中和區中正路１１８６號１樓,54986,121.4807204,25.010317,345857.098,2767192.701
全家中和鎮順店,222427811,新北市中和區中正路１６７巷１６號、１８號１樓,52318,121.4981916,24.9927524,347598.816,2765227.691
全家中和力行店,222435392,新北市中和區中正路２４２號,50042,121.4960237,24.9941414,347381.698,2765383.955
全家中和國華店,232343009,新北市中和區中正路８６８－１號,19408,121.4842808,25.005894,346210.951,2766698.809
全家中和巴黎店,222407145,新北市中和區中興街２３５巷１號,14283,121.5007844,24.9896544,347856.736,2764881.679
全家中和仁義店,229484666,新北市中和區仁愛街３６號,18806,121.510907,24.988332,348876.914,2764723.959
全家中和佳和店,222450773,新北市中和區佳和里中山路二段１３２號、１３４號１樓,11376,121.5023034,25.0034607,348026.961,2766409.085
全家中和保健店,229444222,新北市中和區保健路１７號,11433,121.5080883,24.9982409,348604.466,2765824.533
全家中和水源店,282459519,新北市中和區保平路３２０號、３２２號,50305,121.507272,25.0044067,348529.595,2766508.325
全家中和南勢角店,289412772,新北市中和區南山路３９９巷１０號１樓,14461,121.5071434,24.9904674,348499.613,2764964.64
全家中和勝華店,222425933,新北市中和區南華路６７號壹樓,56490,121.5046943,24.9973646,348260.825,2765731.254
全家中和平興店,229431824,新北市中和區和平街２０號,19031,121.5099135,24.9901784,348778.876,2764929.556
全家中和和平店,229444304,新北市中和區和平街５６號１樓；５４巷１弄１號１樓,11380,121.5085295,24.9908615,348640.006,2765006.748
全家中和新慶店,282217342,新北市中和區員山路１３７號１樓,51461,121.480914,24.996102,345858.989,2765618.105
全家中和員山店,222267296,新北市中和區員山路３２５之４號、之５號１樓,10050,121.4812104,25.0008676,345894.821,2766145.582
全家中和員科店,222221264,新北市中和區員山路５０４之１號１樓,60255,121.4795978,25.0082527,345741.234,2766965.341
全家中和員慶店,222236924,新北市中和區員山路７３號一樓,56681,121.4807006,24.9939681,345834.8,2765382.008
全家中和興國店,229635114,新北市中和區國光街１０４號１樓,52448,121.4702185,25.0004937,344784.91,2766116.649
全家中和安邦店,222460866,新北市中和區圓通路１６９號,11573,121.4977101,24.9952489,347553.278,2765504.727
全家中和圓峰店,222433191,新北市中和區圓通路２２６號１樓,54037,121.4951929,24.9930624,347296.512,2765265.382
全家中和圓通店,222454902,新北市中和區圓通路３０７之５號,10520,121.493319,24.9907961,347104.574,2765016.481
全家中和凌雲店,222427725,新北市中和區圓通路３６７巷２號,18708,121.491285,24.9893961,346897.535,2764863.708
全家中和錦順店,222426992,新北市中和區圓通路３９５號１樓,52618,121.489533,24.9890207,346720.222,2764824.1
全家中和民德店,229640401,新北市中和區壽德里壽德街２６號１樓,12294,121.4665053,24.9943416,344402.415,2765439.508
全家中和仁勇店,229400962,新北市中和區大勇街２０號１樓,53483,121.5173402,24.9928806,349531.803,2765220.615
全家中和安樂店,229400326,新北市中和區安樂路８１號,50943,121.5127597,24.9943037,349071.185,2765383.293
全家中和廣場店,282278301,新北市中和區平河里中正路７１２號一樓,15912,121.4859807,24.9970274,346371.549,2765714.876
全家中和南中店,222464585,新北市中和區廣福路６２號１樓,51609,121.5035483,25.0019182,348150.722,2766236.859
全家中和圓順店,222289923,新北市中和區建一路１４１號,50217,121.4882435,25.0007357,346604.527,2766123.037
全家中和遠建店,282272991,新北市中和區建一路１７６號１樓,12613,121.4879325,24.9972744,346568.86,2765740.033
全家中和建新店,282263686,新北市中和區建八路２８號１樓,54115,121.4873215,24.9982871,346508.44,2765852.882
全家中和和連店,282457861,新北市中和區建和里連城路２６５巷１號一樓,12991,121.4914861,24.9962635,346926.298,2765624.075
全家中和秀欣店,222432645,新北市中和區復興路２６７號１樓及地下室,60359,121.5025637,24.9901752,348036.978,2764937.375
全家中和中興店,282423542,新北市中和區復興里中興街１１１號，１１３號,12087,121.500015,24.992253,347782.256,2765170.343
全家中和德穗店,289526580,新北市中和區德光路２４．２６號１樓,16634,121.4708378,25.0044495,344852.361,2766554.068
全家中和鑫發店,229434443,新北市中和區忠孝街１０５號,59037,121.511902,24.9864777,348975.098,2764517.486
全家中和新忠店,229425376,新北市中和區忠孝街２７號１樓,51816,121.5103868,24.9829918,348817.907,2764133.09
全家中和新生店,232342883,新北市中和區新生街１３２號,11044,121.4834879,25.0011002,346124.983,2766168.769
全家中和新正店,222263432,新北市中和區新生街１９０號１樓,52742,121.4836209,24.9995178,346136.446,2765993.361
全家中和新中穗店,222253237,新北市中和區新生街８號１樓,55452,121.483079,25.0045843,346088.031,2766555.111
