name,tel,address,商店編號,lng,lat,X,Y
全家五股五權店,222984246,新北市五股區五工五路３４號,14290,121.4504411,25.0662264,342872.047,2773419.621
全家五股六福店,222931649,新北市五股區五福路７０號１樓,14279,121.4330915,25.0900689,341152.433,2776080.524
全家五股五福店,282957618,新北市五股區五福里五福路２４號,10985,121.4341955,25.088941,341262.335,2775954.309
全家五股新凌雲店,222953163,新北市五股區凌雲路一段７９號一樓,63161,121.4508542,25.1011413,342958.06,2777286.204
全家五股維興店,289813796,新北市五股區四維路７８號．８０號１樓,16750,121.4674826,25.0729712,344599.659,2774147.052
全家五股新工商店,222952430,新北市五股區工商路８７號１樓,60982,121.4379348,25.0850818,341634.546,2775522.508
全家五股蓬萊店,282921512,新北市五股區成泰路一段２３５－１１號１樓及Ｂ１,52626,121.4363906,25.0800727,341472.369,2774969.516
全家五股水碓店,222977124,新北市五股區成泰路一段７巷２１號、２３號１樓,16359,121.4323189,25.0670862,341044.977,2773535.926
全家五股成泰店,222931703,新北市五股區成泰路三段５７７巷１３８號１樓,12917,121.447656,25.1043442,342639.596,2777644.652
全家五股青水店,282923238,新北市五股區成泰路四段１６號１樓,56466,121.4536043,25.1066714,343242.427,2777895.521
全家五股新五店,222953177,新北市五股區新五路三段２５號１樓部份,57853,121.4452576,25.0896169,342378.94,2776016.282
全家五股洲子洋店,222953856,新北市五股區新城八路７２號１樓,56882,121.4469587,25.0893997,342550.238,2775990.252
全家五股新五義店,222939726,新北市五股區民義路一段１０９號１樓,51781,121.433946,25.086374,341233.874,2775670.287
全家五股民義店,222942736,新北市五股區民義路二段１６號１樓,12390,121.420722,25.096561,339913.237,2776814.105
全家五股登科店,222931643,新北市五股區登林路７６之９號１樓,55853,121.4297906,25.069568,340793.115,2773813.764
全家五股貿商店,222936597,新北市五股區自強路１５４號１樓,14152,121.4320866,25.0702821,341025.648,2773890.167
全家五股自強店,282921942,新北市五股區自強路７４號１樓,52110,121.4329986,25.0731893,341121.381,2774211.093
全家五股高亞店,229844397,新北市五股區興珍里中興路一段１４２號１４２之１號一,15697,121.4649375,25.0738031,344343.971,2774242.104
全家五股芳洲店,222953094,新北市五股區芳洲一路３８號１樓＆２樓,57243,121.4440942,25.0857203,342256.627,2775586.058
全家五股御雲店,222931757,新北市五股區西雲路２號１樓,50452,121.4426885,25.0897601,342120.001,2776035.128
全家五股金雲店,222952906,新北市五股區西雲路２０８號１樓,56943,121.4479183,25.0957234,342655.073,2776689.534
