name,tel,address,商店編號,lng,lat,X,Y
全家土城新德店,222644631,新北市土城區中央路一段２４８之２號,51217,121.444426,24.9847779,342161.604,2764405.667
全家土城德興店,222703829,新北市土城區中央路一段４３號,60612,121.4483014,24.9904471,342559.999,2765029.08
全家土城大安店,222690923,新北市土城區中央路三段１８７號,19131,121.4309606,24.9647925,340776.708,2762207.826
全家土城欣隆店,222683967,新北市土城區中央路三段２８３號１樓,10821,121.42649,24.9632961,340323.418,2762047.317
全家土城永寧店,222694365,新北市土城區中央路三段７４－１號＆７４號１樓,18757,121.4363155,24.9673696,341320.647,2762487.014
全家土城順風店,282612108,新北市土城區中央路二段１５４號,12335,121.441825,24.9767469,341888.822,2763519.203
全家土城中源店,282623623,新北市土城區中央路二段２６０號１樓,53404,121.4414805,24.9746157,341851.332,2763283.561
全家土城員仁店,282623135,新北市土城區中央路二段３０８號,50000,121.4404307,24.9732214,341743.573,2763130.352
全家土城頂埔店,222674416,新北市土城區中央路四段２６２號１樓,50269,121.4147973,24.9569388,339134.638,2761356.945
全家土城鴻海附店,222689435,新北市土城區中央路四段５３－１號１樓,18727,121.4180258,24.9585857,339462.748,2761535.546
全家土城頂運店,222671054,新北市土城區中央路四段７０號１樓,54252,121.4192983,24.9599143,339592.944,2761681.2
全家土城恆山店,222684232,新北市土城區中央路４段２８１號１樓,16680,121.4123699,24.9534793,338885.061,2760976.648
全家土城工業店,222678853,新北市土城區中山路６１號１樓,57045,121.4245651,24.9638523,340129.785,2762111.174
全家土城大道店,222616909,新北市土城區中華路一段３１號,58572,121.446241,24.9887713,342349.891,2764845.858
全家土城新亞店,222697840,新北市土城區亞洲路５７號,50271,121.4333609,24.97116,341027.194,2762910.264
全家土城行政店,282618798,新北市土城區和平路１０－２號１樓,57949,121.442512,24.9741079,341954.821,2763226.123
全家土城中央店,222741563,新北市土城區員林里中央路二段８９號,10626,121.4422504,24.978034,341933.405,2763661.264
全家土城學心店,282731491,新北市土城區學士路１６１號一樓,63051,121.4507235,24.9801163,342791.419,2763882.093
全家土城學士店,282731487,新北市土城區學士路２６號一樓,63050,121.4530243,24.9823526,343026.511,2764127.123
全家土城廣福店,222738441,新北市土城區學府路一段１６２號,10454,121.4542007,24.9869354,343151.053,2764633.339
全家土城新學店,282624507,新北市土城區學府路一段１８７號１樓,51462,121.4524669,24.9850525,342973.655,2764426.794
