name,tel,address,商店編號,lng,lat,X,Y
全家新店三富店,286659629,新北市新店區三民路１４１號１樓,63650,121.5341636,24.9726006,351205.645,2762956.086
全家新店鑫民店,229188975,新北市新店區三民路８１號１樓,62432,121.5358101,24.971566,351370.63,2762839.707
全家新店福民店,222194351,新北市新店區中央路１４５號,50170,121.5302575,24.9733164,350812.167,2763039.629
全家新店新中央店,222197580,新北市新店區中央路６３號,19309,121.5326798,24.9771154,351061.258,2763457.731
全家新店溪園店,282189189,新北市新店區中山里溪園路３８９號一樓,10134,121.523593,24.9791411,350146.381,2763692.036
全家新店華盛店,286658387,新北市新店區中正路１４３號１樓,60253,121.5415648,24.9715023,351951.519,2762826.395
全家新店正民店,229137185,新北市新店區中正路２２４號,55747,121.5402357,24.9728301,351818.922,2762974.895
全家新店中欣店,229156887,新北市新店區中正路３號,52259,121.5457161,24.969198,352367.878,2762566.69
全家新店正中店,222195702,新北市新店區中正路３６６號,55395,121.5352166,24.976228,351316.288,2763356.682
全家新店新百合店,222199017,新北市新店區中正路４０４號,54168,121.5345935,24.9776081,351255.036,2763510.21
全家新店中盛店,286673532,新北市新店區中正路４９３－２號１樓,56910,121.533504,24.982918,351151.41,2764099.484
全家新店莊敬店,282193280,新北市新店區中正路５２３號,53264,121.5333566,24.9851837,351139.244,2764350.577
全家新店五豐店,289145746,新北市新店區中正路５９號,56352,121.5442063,24.9698874,352216.273,2762644.677
全家新店大鵬店,222184729,新北市新店區中正路６９８號,50005,121.5342133,24.9905281,351232.121,2764941.549
全家新店新寶安店,229157211,新北市新店區中興路三段２０９號,19669,121.5435838,24.9817711,352167.558,2763961.498
全家新店鑫峰店,229184798,新北市新店區中興路１段２８２號１樓,61927,121.5386808,24.9585377,351644.904,2761393.669
全家新店富強店,289145943,新北市新店區中興路３段１５６號,51486,121.5446382,24.9806445,352272.657,2763835.582
全家新店中華店,286658913,新北市新店區中華路５０號,10872,121.539679,24.968555,351757.626,2762502.022
全家新店慶民店,289193666,新北市新店區二十張路３號,11954,121.540052,24.9824479,351811.842,2764040.288
全家新店僑信店,222143950,新北市新店區僑信路２０號１樓,53219,121.4996673,24.9523518,347698.29,2760751.531
全家新店光盛店,289147282,新北市新店區光明街１８１號１樓,57925,121.5398303,24.96307,351766.364,2761894.382
全家新店站前店,229147259,新北市新店區北宜路一段６號,50032,121.5379035,24.9577382,351565.47,2761305.968
全家新店長春店,282171585,新北市新店區北宜路二段１４９號１樓,12900,121.5517643,24.9532552,352959.644,2760794.467
全家新店北宜店,222171961,新北市新店區北宜路二段１８號１樓＋地下室,59032,121.5479076,24.9516014,352568.276,2760615.465
全家新店美譚店,222171398,新北市新店區北宜路二段４１９號,19177,121.560332,24.954511,353826.194,2760924.348
全家新店新華店,229124931,新北市新店區北新路一段２８７號１樓＋２樓,60252,121.541003,24.9671169,351889.581,2762341.312
全家新店行政店,289146697,新北市新店區北新路一段８８巷１２號３樓,60221,121.5424722,24.9671774,352037.981,2762346.418
全家新店忠誠店,229158815,新北市新店區北新路二段１１９號１樓,11829,121.542739,24.9749765,352074.194,2763209.896
