name,tel,address,商店編號,lng,lat,X,Y
全家新莊新中信店,289927949,新北市新莊區中信街４１號１樓,51872,121.4500999,25.0506933,342817.909,2771699.625
全家新莊福前店,285218649,新北市新莊區中原東路５６號１樓,58475,121.4639314,25.0545852,344218.301,2772114.758
全家新莊中原店,289920047,新北市新莊區中原路２９７號,11404,121.447695,25.05422,342579.755,2772093.012
全家新莊福壽店,229908643,新北市新莊區中原路４５號,10558,121.4582137,25.0542179,343640.982,2772080.641
全家新莊中環店,229906924,新北市新莊區中和街１５５巷２號１樓＋２樓部分,50043,121.447293,25.04994,342533.755,2771619.44
全家新莊和運店,229907549,新北市新莊區中和街１７號１樓,57219,121.4480697,25.0435168,342603.959,2770907.131
全家新莊副都店,285218124,新北市新莊區中央路４３７號１樓,58199,121.4478903,25.0579598,342604.212,2772506.993
全家新莊中央店,285219448,新北市新莊區中央路５５８號１樓,59259,121.4488983,25.0589369,342707.147,2772614.046
全家新莊新幸福店,229969520,新北市新莊區中平路１８４巷１０弄７號１樓,51470,121.4452691,25.0483395,342327.52,2771444.52
全家新莊狀元店,229984996,新北市新莊區中平路２６８號,10879,121.4449228,25.050131,342294.861,2771643.341
全家新莊新中平店,229966949,新北市新莊區中平路２９０號１樓,61262,121.4450376,25.0513012,342307.933,2771772.816
全家新莊忠承店,229906231,新北市新莊區中平路３７７巷２號１樓,62209,121.4443221,25.0526555,342237.47,2771923.643
全家新莊中悅店,285215084,新北市新莊區中平路４００號１樓,60118,121.4447822,25.054109,342285.741,2772084.094
全家新莊中永店,289920165,新北市新莊區中平路６６號,11919,121.4450087,25.0444599,342296.308,2771015.131
全家新莊中榮店,229983442,新北市新莊區中榮街８４號,11589,121.4481512,25.0528861,342624.086,2771944.746
全家新莊新建店,229013769,新北市新莊區中正路新建巷４０號１樓,51469,121.4145494,25.0214545,339193.164,2768502.782
全家新莊新正店,229900756,新北市新莊區中正路２６１號全部,61497,121.449859,25.0354016,342774.202,2770006.253
全家新莊福海店,222038885,新北市新莊區中正路４０１號,11846,121.4452831,25.0343857,342311.176,2769899.032
全家新莊龍鳳店,229017635,新北市新莊區中正路７２９號,50272,121.422867,25.0287761,340042.003,2769303.898
全家新莊安和店,229036055,新北市新莊區中正路８２９巷２２弄１號,12131,121.4215784,25.0271078,339909.814,2769120.637
全家新莊迴龍店,229011240,新北市新莊區中正路８９５－２６號１樓,55189,121.4121451,25.0218627,338951.057,2768550.836
全家新莊新和港店,229938945,新北市新莊區中港一街１４３號,10402,121.4478654,25.0449842,342585.21,2771069.891
全家新莊中港店,229944832,新北市新莊區中港路１２６號,10544,121.4553924,25.040333,343338.785,2770546.052
全家新莊中美店,222796927,新北市新莊區中港路４１３＆４１５號１樓,14479,121.452065,25.047368,343011.96,2771329.057
全家新莊華運店,289921279,新北市新莊區中華路一段６７號１樓＋地下室,60553,121.4520584,25.0397657,343001.661,2770487.064
全家新莊華寧店,229946014,新北市新莊區中華路１段８號１樓,14469,121.4519024,25.0363397,342981.58,2770107.793
全家新莊首富店,229902685,新北市新莊區中華里中華路二段５號,12393,121.4535461,25.0453216,343158.805,2771100.697
全家新莊五工店,222988045,新北市新莊區五工路７０號１樓＋Ｂ１,62569,121.4578941,25.063645,343620.644,2773125.118
全家新莊五權店,222980962,新北市新莊區五權一路３６號１樓＆２樓,60790,121.4575476,25.0653965,343587.902,2773319.506
全家新莊新德勝店,222014708,新北市新莊區八德街１３５號,53168,121.4238393,25.0202081,340129.073,2768353.79
全家新莊八德店,222014759,新北市新莊區八德街１５巷２號，１７號,10523,121.4254662,25.0223544,340296.022,2768589.598
全家新莊泰園店,229757564,新北市新莊區公園一路１０３號１樓,59493,121.4446913,25.0380889,342256.173,2770309.87
全家新莊新市店,285212417,新北市新莊區化成路４３１巷７６號,54920,121.4625903,25.0599021,344089.692,2772705.174
全家新莊福成店,229948672,新北市新莊區化成路５５２號１樓及地下室,54648,121.4663738,25.0538015,344463.728,2772025.163
全家新莊樹成店,285214163,新北市新莊區化成路７３８號,56192,121.4656915,25.0574502,344399.476,2772430.058
全家新莊維新店,222041652,新北市新莊區四維路１４７號１樓,50361,121.422773,25.022153,340023.973,2768570.454
全家新莊德祐店,222083680,新北市新莊區四維路１５０巷９號１樓,50510,121.4222498,25.0233568,339972.726,2768704.398
全家新莊新雙鳳店,229011246,新北市新莊區天祥街２號,53791,121.4175515,25.0268245,339503.08,2769094.003
全家新莊天祥店,229013468,新北市新莊區天祥街２９號１樓,61163,121.4172202,25.0281596,339471.377,2769242.266
全家新莊天美店,229030732,新北市新莊區天祥街４２號１樓,14524,121.416918,25.028899,339441.838,2769324.516
全家新莊金富店,222023655,新北市新莊區富國路１７６巷７號１樓,50976,121.4242911,25.0240746,340179.651,2768781.501
全家新莊昌盛店,222764464,新北市新莊區幸福里昌盛街６７號一樓,12558,121.4549343,25.0500424,343304.842,2771621.954
全家新莊建中店,222779137,新北市新莊區建中街１１８號、１２０號、１２２號,11804,121.445636,25.0366388,342349.652,2770148.168
全家新莊學輔店,229018239,新北市新莊區建國一路２號,18879,121.4334199,25.0320754,341111.14,2769656.953
全家新莊建國店,229081905,新北市新莊區建國一路４９號１樓右半,14176,121.4344377,25.0306852,341212.065,2769501.791
全家新莊建興店,222015482,新北市新莊區建安街１８號１樓,12458,121.4286654,25.0263664,340624.031,2769030.203
全家新莊建安店,222044299,新北市新莊區建安街４２號,11078,121.4275466,25.0250024,340509.375,2768880.442
全家新莊新園寧店,229949325,新北市新莊區建興街１０１號,52301,121.4496539,25.0393647,342758.534,2770445.428
