name,tel,address,商店編號,lng,lat,X,Y
全家板橋振興店,289612085,新北市板橋區三民路一段３１巷８９弄３號,11148,121.4817815,25.023303,345980.311,2768629.762
全家板橋富山店,289641541,新北市板橋區三民路一段９４號，９６號,11925,121.4791742,25.0216445,345715.134,2768449.028
全家板橋天和店,229556108,新北市板橋區三民路二段１４０號１樓,56086,121.479016,25.015973,345692.115,2767821.061
全家板橋長民店,229558365,新北市板橋區三民路二段１５３巷１－３號１樓＆Ｂ１,53534,121.4796206,25.0150261,345751.954,2767715.502
全家板橋樂福店,229636100,新北市板橋區三民路二段２１巷６號１樓,52970,121.479726,25.018091,345766.401,2768054.835
全家板橋居仁店,229596251,新北市板橋區三民路二段２４３號,61873,121.4791455,25.0125966,345700.986,2767446.961
全家板橋長壽店,229572584,新北市板橋區三民路二段８３號,10924,121.4794387,25.0165572,345735.5,2767885.285
全家板橋新光店,229550932,新北市板橋區中山路一段１４１－２號１樓,56230,121.4637209,25.0113328,344142.696,2767324.554
全家板橋新府店,229510276,新北市板橋區中山路一段１６０－６號,61581,121.4664038,25.0119713,344414.267,2767392.203
全家板橋新光仁店,289539335,新北市板橋區中山路二段２５號１－５樓,51813,121.4726156,25.0153152,345045.362,2767755.475
全家板橋光復店,229643847,新北市板橋區中山路二段５０３號１樓,12224,121.4826235,25.0211187,346062.57,2768386.888
全家板橋興隆店,289510091,新北市板橋區中山路二段９０巷１０號,62039,121.4753512,25.0159856,345322.277,2767826.614
全家板橋花園店,229679720,新北市板橋區中正路一巷１４號１樓,56042,121.4552302,25.0117171,343286.259,2767376.862
全家板橋大庭店,229670325,新北市板橋區中正路１９１號,10305,121.4563392,25.0169081,343404.736,2767950.518
全家板橋美庭店,229607413,新北市板橋區中正路２１６巷２１號、２３號１樓,16297,121.4565953,25.0186111,343432.731,2768138.841
全家板橋福德店,289697916,新北市板橋區中正路２５４號１樓,60183,121.4555816,25.0193853,343331.407,2768225.754
全家板橋香社店,289658681,新北市板橋區中正路３２５巷２５號１樓,59348,121.4541306,25.0196113,343185.261,2768252.455
全家板橋瑞安店,229677282,新北市板橋區中正路３９５號１樓,52545,121.4540571,25.0219619,343180.815,2768512.882
全家板橋勝文店,282528693,新北市板橋區仁化街４６號及４６之１號１樓,16738,121.4752496,25.0316095,345331.509,2769557.156
全家板橋文心店,222562587,新北市板橋區介壽街２０號１樓,59411,121.4675616,25.0200267,344541.21,2768283.059
全家板橋干城店,229644958,新北市板橋區信義路２４３號１樓,56543,121.4601356,24.9910821,343755.366,2765085.79
全家板橋信義店,229536686,新北市板橋區信義路７１號１樓,58838,121.4572442,24.9953328,343468.862,2765559.896
全家板橋信陽店,229506920,新北市板橋區信義里信義路７２號一樓,15970,121.4573928,24.993421,343481.452,2765347.983
全家板橋僑一店,229679685,新北市板橋區僑中一街１２４巷９弄１號,19427,121.4458611,25.0126486,342341.868,2767490.846
全家板橋僑二店,289699174,新北市板橋區僑中二街１１６巷１號１樓,52946,121.4454971,25.0063468,342297.124,2766793.306
全家板橋聯翠店,222559113,新北市板橋區光武街２２號壹樓,51998,121.4678675,25.0254003,344578.815,2768877.864
全家板橋華東店,289660536,新北市板橋區南雅南路二段１４４巷１８號,61496,121.4506901,24.9958073,342807.905,2765619.994
全家板橋大雅店,229649724,新北市板橋區南雅南路二段５號１樓,57478,121.4542531,25.002268,343175.706,2766331.446
全家板橋湳雅店,229647980,新北市板橋區南雅南路二段９４號,60792,121.4534078,25.0014319,343089.331,2766239.817
全家板橋新雅店,229655750,新北市板橋區南雅東路８號（代表號）１樓,54736,121.4549886,25.0060052,343254.661,2766744.515
全家板橋宜宅店,229600030,新北市板橋區合宜路１２９號１樓,57479,121.4475526,24.9982939,342494.367,2765899.023
全家板橋祝山店,222554105,新北市板橋區吳鳳路２１巷２號１樓,19217,121.4668139,25.0311583,344479.715,2769516.798
全家板橋和平店,229535609,新北市板橋區和平路１００號,19426,121.4621435,24.9947364,343962.637,2765488.222
全家板橋新遠店,289539873,新北市板橋區四川路一段３７１號１樓,51459,121.4583231,24.9995311,343583.053,2766023.641
全家板橋川府店,229511412,新北市板橋區四川路一段６５號１樓,60076,121.4596645,25.0060518,343726.655,2766744.303
全家板橋板川店,289674495,新北市板橋區四川路二段２４５巷７號１樓,53757,121.450814,24.9933659,342817.321,2765349.453
全家板橋華德店,289676847,新北市板橋區四川路二段４７巷３弄４號１樓,52704,121.4544085,24.994582,343181.684,2765480.001
全家板橋宏翠店,282572973,新北市板橋區四維路１００號１樓,53606,121.465767,25.0244639,344365.672,2768776.553
全家板橋四維店,222542469,新北市板橋區四維路１８０號,10412,121.4644889,25.0266914,344239.492,2769024.723
全家板橋互維店,222586320,新北市板橋區四維路２９３號１樓,56945,121.4631918,25.0283116,344110.635,2769205.654
全家板橋勝維店,282570329,新北市板橋區四維路３１８號１樓,57236,121.4624323,25.0300855,344036.225,2769402.994
全家板橋國泰店,229596571,新北市板橋區國泰街３７號１樓,18756,121.4685856,25.0065505,344627.676,2766789.331
全家板橋大仁店,229660911,新北市板橋區大仁街１０８之１號,10355,121.4530603,25.0159609,343072.63,2767849.386
全家板橋大勇店,222720109,新北市板橋區大仁街３６號,61921,121.4551771,25.0168299,343287.358,2767943.194
全家板橋浮州店,222755855,新北市板橋區大觀路二段２６５巷１６號１樓,58498,121.4427557,24.9985794,342010.551,2765936.198
全家板橋興安店,229672852,新北市板橋區大觀路二段３７巷３８號１樓,52068,121.4486198,25.0026184,342607.568,2766376.752
全家板橋國民店,229572609,新北市板橋區實踐路１３２號１樓,14465,121.464294,25.0026624,344189.652,2766363.606
全家板橋大東店,289698004,新北市板橋區府中路１２７號１樓,50303,121.456065,25.009459,343367.661,2767125.804
全家板橋板農店,222723346,新北市板橋區府中路２９—１號１樓,12816,121.4587854,25.0086811,343641.241,2767036.522
全家板橋廣和店,289518657,新北市板橋區廣福里廣和街７９號１樓,16066,121.4627871,24.9921479,344024.35,2765200.796
全家板橋新富陽店,222750133,新北市板橋區復興街１３３號,62426,121.4609911,25.0181682,343875.793,2768084.739
全家板橋江翠店,222525104,新北市板橋區懷德街１２７巷１號及３號１Ｆ,10685,121.4788968,25.0309673,345698.74,2769481.889
全家板橋新翠店,222544470,新北市板橋區懷德街１２７巷２３弄７號１樓,53191,121.4793981,25.0316516,345750.177,2769557.11
全家板橋懷聖店,222505214,新北市板橋區懷德街２０１巷２號,18653,121.4806753,25.0289929,345875.751,2769261.199
全家板橋金鑽店,226750923,新北市板橋區成和里金門街２９號,12306,121.4335162,24.9941377,341072.268,2765454.999
全家板橋新民店,222570742,新北市板橋區文化路一段１８８巷４２號１樓,12770,121.4667882,25.0189923,344461.864,2768169.377
全家板橋傑仕堡店,222540391,新北市板橋區文化路一段１８８巷５７號１樓（配送用）,58349,121.4681669,25.0183097,344600.145,2768092.201
全家板橋文化店,222544632,新北市板橋區文化路一段２８０號,10469,121.4672746,25.0211159,344513.612,2768404.021
全家板橋漢西店,222548179,新北市板橋區文化路一段３１３號,63019,121.4639242,25.0216141,344176.127,2768463.031
全家板橋新埔店,222518500,新北市板橋區文化路一段４２１巷４號１樓,59020,121.467322,25.0228019,344520.509,2768590.701
全家板橋龍江店,282535436,新北市板橋區文化路二段１８２巷３弄９１，９３號１樓,16540,121.4724387,25.0290397,345044.656,2769275.735
全家板橋立都店,222559171,新北市板橋區文化路二段２５９號１樓,55190,121.471298,25.029051,344929.562,2769278.286
全家板橋興盛店,282589625,新北市板橋區文聖街１６１號１樓,53484,121.4790387,25.0274535,345708.687,2769092.557
全家板橋板民店,229545946,新北市板橋區新民街３９號１樓,14454,121.4639105,25.0107899,344161.149,2767264.208
全家板橋新農店,222538884,新北市板橋區新海路３２８，３３０號１樓,10841,121.4605124,25.0242199,343835.102,2768755.547
全家板橋富貴店,222599157,新北市板橋區新海路４６２，４６４，４６６號１樓,10718,121.4576846,25.0284513,343555.075,2769227.446
全家板橋新甫華店,222725443,新北市板橋區新生街２２號,63582,121.4559459,25.021114,343370.355,2768416.798
全家板橋欣興店,229654269,新北市板橋區新興路１號１樓,54171,121.456202,25.007121,343378.537,2766866.7
