name,tel,address,商店編號,lng,lat,X,Y
全家樹林新三俊店,226761569,新北市樹林區三俊街１１２號,60613,121.415108,25.0153953,339241.684,2767831.023
全家樹林俊興店,226887701,新北市樹林區三俊街１２７號１Ｆ,12019,121.4180454,25.0157828,339538.635,2767870.475
全家樹林中新店,226830689,新北市樹林區中山路一段１０８巷２２號,60978,121.4220854,24.9913092,339914.799,2765155.106
全家樹林新中店,226685755,新北市樹林區中山路三段１０７號及１０７－１號,11869,121.3998743,24.9744112,337650.668,2763309.812
全家樹林山佳店,226689114,新北市樹林區中山路三段２４５號,60869,121.3927804,24.9720313,336931.367,2763054.687
全家樹林三德店,226763033,新北市樹林區中正路４８２號１樓,57093,121.4126502,25.01293,338990.436,2767560.878
全家樹林中華店,286867009,新北市樹林區中華路１８３．１８５號１樓,16616,121.4206368,24.981713,339756.194,2764093.968
全家樹林新全球店,286862215,新北市樹林區中華路２９１號,51367,121.4169127,24.9800556,339378.103,2763914.784
全家樹林新育園店,226685274,新北市樹林區佳園路一段４５號,61747,121.3932245,24.9705781,336974.297,2762893.203
全家樹林三龍店,226765401,新北市樹林區俊興街２７７號,60467,121.4184813,25.0183088,339585.894,2768149.734
全家樹林俊英店,226899787,新北市樹林區俊英街１１３號,11655,121.4247923,25.0099287,340212.009,2767214.159
全家樹林俊信店,226758782,新北市樹林區俊英街１１８號１樓,53700,121.4274319,25.0056425,340472.906,2766736.34
全家樹林俊霖店,226765503,新北市樹林區俊英街１５５巷１號１樓,19775,121.424133,25.0122335,340148.437,2767470.205
全家樹林武林店,226888778,新北市樹林區保安街二段１０９號,59206,121.415382,25.00139,339251.194,2766279.515
全家樹林新保安店,226886257,新北市樹林區保安街二段２１５號１樓,50910,121.4131844,25.0040892,339032.881,2766581.066
全家樹林德園店,226807279,新北市樹林區八德街６００及６０２號,11025,121.3972354,24.9703433,337378.931,2762862.408
全家樹林圳福店,226868521,新北市樹林區千歲街６１巷２號１樓,62832,121.4265216,24.9981872,340371.441,2765911.684
全家樹林凱旋店,289700748,新北市樹林區南園里大成路１０號１樓（光纖）三峽鎮,16049,121.3827158,24.944758,335879.263,2760046.043
全家樹林博愛店,286755840,新北市樹林區博愛街１５８號１樓,15079,121.4260471,24.9910358,340314.35,2765120.177
全家樹林嘉聯益店,286844863,新北市樹林區博愛街２４８號,62677,121.4233061,24.9850038,340029.898,2764455.31
全家樹林佳瑪店,226878166,新北市樹林區博愛街８９號１樓,52556,121.4271601,24.9914775,340427.267,2765167.794
全家樹林國凱店,286860727,新北市樹林區國凱街８２號,10736,121.4212168,24.9792342,339811.55,2763818.744
全家樹林大安店,226877960,新北市樹林區大安路５０１號１樓,53444,121.4143128,24.9864073,339123.864,2764621.342
全家樹林金安店,226875845,新北市樹林區大安路５８５號１樓,57286,121.4119407,24.9834571,338880.582,2764297.39
全家樹林學誠店,235017864,新北市樹林區大義路１９６＆１９８號,18710,121.3781522,24.9459045,335419.939,2760178.522
全家樹林藝術店,226687483,新北市樹林區大雅路２８７號１樓,56070,121.3797493,24.9475991,335583.455,2760364.286
全家樹林太平店,286845773,新北市樹林區太元街５８號,11122,121.4184311,24.9794106,339530.555,2763841.558
全家樹林學勤店,289705219,新北市樹林區學勤路５５０．５５２號１樓,16866,121.38395,24.9485287,336008.864,2760462.191
全家樹林學園店,235019721,新北市樹林區學成路６０１號１樓,19747,121.381375,24.946292,335745.891,2760217.558
全家樹林車站店,226813492,新北市樹林區後站街８號,11836,121.424217,24.991476,340130.182,2765171.078
全家樹林復興店,226873547,新北市樹林區復興路２７２號，２７４號,10956,121.4181481,24.9885801,339513.832,2764857.472
全家樹林五圓店,286850375,新北市樹林區忠孝街９９號１樓,16668,121.4244533,24.9810239,340140.584,2764013.165
全家樹林仁醫店,226842900,新北市樹林區文化街１４號１樓,57547,121.419991,24.987413,339698.356,2764726.039
全家樹林日新店,226876139,新北市樹林區日新街５０號１樓,14175,121.422528,24.9920594,339960.443,2765237.676
全家樹林欣榮店,286857876,新北市樹林區東榮街１０７號１樓,50669,121.4155489,24.9822465,339243.26,2764159.048
全家樹林東興店,286847363,新北市樹林區東興街２２號１樓,58223,121.4103325,24.9778978,338711.019,2763683.563
全家樹林東豐店,286849952,新北市樹林區東豐街５１號,62208,121.4150033,24.975409,339179.332,2763402.394
全家樹林新柑園店,226684823,新北市樹林區柑園街一段３０２號１樓,55191,121.3886205,24.9560809,336490.411,2761293.046
全家樹林工業店,226846582,新北市樹林區武林街２號,60746,121.4164051,25.0004929,339353.299,2766178.948
全家樹林潭興店,226829851,新北市樹林區潭興街２２號１樓、地下室,12948,121.425183,24.9991004,340237.503,2766014.396
全家樹林新育店,226860566,新北市樹林區育英街５３號１樓,57301,121.4208061,24.9890612,339782.763,2764907.63
全家樹林台鐵店,226817735,新北市樹林區鎮前街１１２號,58692,121.4246008,24.9914074,340168.836,2765163.03
全家樹林龍興店,226889613,新北市樹林區龍興街１５號,11654,121.4029611,25.0163168,338016.985,2767947.485
