name,tel,address,商店編號,lng,lat,X,Y
全家汐止農會店,286916715,新北市汐止區中正路１０６號１樓,12725,121.6610343,25.0695413,364119.693,2773559.808
全家汐止興中店,286933681,新北市汐止區中興路１５８號,53674,121.6323311,25.0649633,361219.223,2773081.775
全家汐止福全店,226479466,新北市汐止區仁愛路１４９號,18935,121.6636959,25.0647552,364382.933,2773027.092
全家汐止伯爵店,226474757,新北市汐止區伯爵街５２巷１號壹樓部份,19026,121.6383103,25.0805195,361839.735,2774798.547
全家汐止保興店,286489793,新北市汐止區保一街３９號,56132,121.6742173,25.0802345,365461.094,2774730.97
全家汐止車站店,226494180,新北市汐止區信義路１號２樓,62695,121.6617312,25.0683194,364188.65,2773423.786
全家汐止力行店,226401386,新北市汐止區力行街１號,11666,121.617374,25.0512519,359694.885,2771578.569
全家汐止站前店,286923096,新北市汐止區南昌街１６號,14552,121.6629991,25.0683559,364316.586,2773426.563
全家汐止和平店,226439807,新北市汐止區和平街４８號,53124,121.6623961,25.0708639,364258.509,2773704.926
全家汐止茂盛店,226413633,新北市汐止區大同路一段２２５號壹樓,57139,121.6342282,25.0576666,361402.432,2772271.727
全家汐止經貿店,286473139,新北市汐止區大同路三段１９０號壹樓部份,19770,121.674852,25.0737183,365518.035,2774008.675
全家汐止大同店,286486545,新北市汐止區大同路三段２６９，２７１號,10475,121.673851,25.0758549,365419.388,2774246.293
全家汐止摩天店,226905548,新北市汐止區大同路三段６１１之３號壹樓,52270,121.6830692,25.0751522,366348.43,2774159.378
全家汐止龍安店,226490723,新北市汐止區大同路二段１８４巷１１號,11124,121.6538792,25.0635758,363391.37,2772906.296
全家汐止智興店,226490742,新北市汐止區大同路二段２００號,56299,121.6532703,25.064741,363331.231,2773035.953
全家汐止宏國店,286923110,新北市汐止區大同路２段２８３號,14405,121.6537004,25.0661992,363376.226,2773197.017
全家汐止鑫宜興店,226606803,新北市汐止區宜興街１６號,62898,121.6214091,25.0415726,360091.053,2770502.424
全家汐止康寧店,226959946,新北市汐止區康寧街１６９巷２３號１樓,15173,121.6227171,25.0682054,360253.059,2773450.686
全家汐止東城店,286951885,新北市汐止區康寧街４５９巷１０號１樓,60428,121.6314875,25.0689717,361138.617,2773526.57
全家汐止日月光店,226486322,新北市汐止區康寧街７４７號．７４９號,14213,121.6382845,25.07334,361829.121,2774003.438
全家汐止建泰店,226902115,新北市汐止區建成路５９巷２號（國泰醫院汐止院區）,18754,121.6611849,25.0726989,364138.348,2773909.361
全家汐止建安店,226418761,新北市汐止區建成路５９巷９號．１５號,16907,121.6617929,25.0730099,364200.017,2773943.197
全家汐止秀峰店,226919425,新北市汐止區忠孝東路２２８號,14430,121.6623777,25.0667581,364252.154,2773250.227
全家汐止新忠孝店,226919701,新北市汐止區忠孝東路２５８號,14186,121.6631466,25.067536,364330.567,2773335.612
全家汐止橋東店,286475279,新北市汐止區忠孝東路４０２號,50079,121.665972,25.070946,364619.3,2773710.454
全家汐止連新店,226919772,新北市汐止區新台五路一段１５１號壹樓及地下室,19198,121.653536,25.0623609,363355.409,2772772.09
全家汐止青山店,226489817,新北市汐止區新台五路一段２１２號；２１２之１號,11993,121.655907,25.0629525,363595.241,2772835.23
全家汐止宏碁店,226960486,新北市汐止區新台五路一段８２號部份,62615,121.647263,25.0607081,362720.773,2772595.358
全家汐止新遠雄店,226971106,新北市汐止區新台五路一段９３號地下一層之２,60010,121.648006,25.0617716,362796.904,2772712.391
全家汐止東科店,226969769,新北市汐止區新台五路一段９６號Ｃ棟,63131,121.6483301,25.060472,362828.16,2772568.134
全家新遠雄二店,226975513,新北市汐止區新台五路一段９７號地下一層之６,60011,121.6500784,25.0616148,363005.79,2772692.937
全家汐止新興店,226919264,新北市汐止區新興路２１及２３號,14412,121.6566818,25.0646146,363675.229,2773018.531
全家汐止鑫峰店,226953467,新北市汐止區明峰街１６２號,51476,121.6291717,25.0705072,360906.741,2773698.995
全家汐止忠樹店,226494703,新北市汐止區樟樹一路１１９巷２５號１樓,61070,121.6404844,25.0642614,362040.911,2772995.745
全家汐止樟中店,286425058,新北市汐止區樟樹一路１２７號１樓,12593,121.6419958,25.0648325,362194.011,2773057.462
