name,tel,address,商店編號,lng,lat,X,Y
全家淡水市鎮店,226236102,新北市淡水區中山北路二段１８５號１樓,57499,121.444035,25.185153,342377.732,2786599.061
全家淡水新江店,226227391,新北市淡水區中山北路二段１８８巷１６號１樓,52464,121.4446638,25.1848823,342440.757,2786568.346
全家淡水登峰店,228085461,新北市淡水區中正東路二段２７號２樓,12353,121.4597424,25.1567269,343924.75,2783432.446
全家淡水新天闊店,228084041,新北市淡水區中正東路二段３３號,54511,121.4593923,25.1563533,343888.985,2783391.47
全家淡水淡海店,228050241,新北市淡水區中正路一段６２巷２號,12101,121.4258228,25.1771599,340531.902,2785735.096
全家淡水滬鑫店,226228730,新北市淡水區中正路１３３號,61499,121.4393292,25.170341,341884.452,2784963.998
全家淡水成功店,226236052,新北市淡水區中正路５７號,61819,121.4417893,25.1695008,342131.34,2784868.068
全家淡水紅林店,228092016,新北市淡水區八勢里中正東路二段６９號１樓,16115,121.4595894,25.1546079,343906.644,2783197.927
全家淡水天元店,223831985,新北市淡水區北新路二段１５０號,62445,121.4822931,25.1851532,346233.458,2786555.059
全家淡水新旭店,226253827,新北市淡水區北新路１６９巷３５號１樓,15151,121.4494008,25.1802496,342912.254,2786049.729
全家淡水學城店,226299127,新北市淡水區北新路１８２巷２１弄１－１號,16600,121.4492155,25.1774268,342889.977,2785737.296
全家淡水北淡店,226215175,新北市淡水區北新路１８２巷３４號一樓,60256,121.4486026,25.1776089,342828.436,2785758.177
全家淡水淡水店,226237472,新北市淡水區博愛街１４號,50685,121.4460691,25.1697631,342563.06,2784892.135
全家淡水財庫店,286319663,新北市淡水區學府路１３６巷４６號一樓,56825,121.4522018,25.1725776,343184.789,2785196.745
全家淡水金榜店,226269497,新北市淡水區學府路１７６號,61355,121.4465669,25.1755361,342620.612,2785530.963
全家淡水麗景店,226252260,新北市淡水區學府路３０號１樓,15219,121.4479292,25.16855,342749.001,2784755.613
全家淡水義山店,226258537,新北市淡水區新市一路一段１０３號１樓,54271,121.4312281,25.1870148,341089.421,2786820.254
全家淡水海都二店,226256142,新北市淡水區新市三路二段２７９號,61018,121.4366323,25.1957992,341645.367,2787786.865
全家淡水海都三店,226257449,新北市淡水區新市三路二段３４３號１樓,62991,121.4384424,25.1954852,341827.374,2787749.969
全家淡水海都店,226238741,新北市淡水區新市五路三段３１２號,58299,121.4378654,25.1973814,341771.666,2787960.664
全家淡水新頂店,228059891,新北市淡水區新市五路２段３號１樓,58573,121.4292287,25.2001596,340904.914,2788278.509
全家淡水新摩天店,226255587,新北市淡水區新春街１８４號,50302,121.4435199,25.1807782,342320.216,2786115.116
全家淡水新春店,226200131,新北市淡水區新春街９５之７號１樓,59566,121.4397464,25.1827042,341942.371,2786332.839
全家淡水新盛店,226293924,新北市淡水區新民街１２２號,59171,121.4377667,25.177704,341736.421,2785781.339
全家淡水新民店,226223099,新北市淡水區新民街１８０之６號,10426,121.4367975,25.1790466,341640.463,2785931.177
全家淡水新園店,226218918,新北市淡水區新民街７８號,52372,121.4385654,25.1765362,341815.421,2785651.061
全家淡水新興店,226230631,新北市淡水區新興街６４號,50175,121.4418477,25.1802086,342150.951,2786053.977
全家淡水新生店,226224332,新北市淡水區新興里大義街１１號,12227,121.443319,25.1781099,342296.551,2785819.813
全家淡水福春店,226281994,新北市淡水區新興里新春街２號一樓,15639,121.4426047,25.1811784,342228.489,2786160.508
全家淡水旭陞店,226217371,新北市淡水區新興里新生街５３號１樓,16116,121.4405484,25.1747613,342013.01,2785452.16
全家淡水竹勝店,228082083,新北市淡水區民族路５６號１樓,56561,121.4617994,25.1359185,344105.807,2781125.396
全家淡水加州店,288093432,新北市淡水區民權路１９號,18633,121.4598362,25.1418172,343915.335,2781780.979
全家淡水民生店,228081841,新北市淡水區民生路１１９號１樓,62189,121.4650489,25.1388477,344437.123,2781446.093
全家淡水竹圍店,228099936,新北市淡水區民生路５８號,10047,121.4621368,25.1379581,344142.401,2781350.909
全家淡水源德店,226264758,新北市淡水區水源街一段１號,53011,121.4426159,25.1725436,342218.555,2785204.119
全家淡水水源店,226291496,新北市淡水區水源街一段１２４號１樓,15330,121.4473811,25.1716396,342697.699,2785098.448
全家淡水富山店,226239971,新北市淡水區水源街二段１７７巷６７號,52237,121.4523114,25.1769906,343201.454,2785685.393
全家淡水五虎崗店,226224612,新北市淡水區水源街二段８６號１樓,61020,121.4517108,25.1742271,343137.4,2785380.009
全家淡水興忠店,226263386,新北市淡水區水碓里１１鄰大忠街４３號１樓,16158,121.4445257,25.1764401,342416.035,2785633.464
全家淡水江南店,226255132,新北市淡水區沙崙路一段１０８號,60604,121.4303002,25.1883179,340997.589,2786965.674
全家淡水海樂地店,228055711,新北市淡水區沙崙路二段７７７號,62963,121.4342786,25.2009392,341414.8,2788358.924
全家淡水銘崙店,228059796,新北市淡水區沙崙路９號１樓,59756,121.4210167,25.1813564,340052.948,2786205.569
全家淡水沙崙店,228050829,新北市淡水區沙崙里沙崙路１４９號,12188,121.419332,25.186893,339890.354,2786820.791
全家淡水新崙店,228053641,新北市淡水區淡海路７６號１樓,54483,121.4231667,25.1810775,340269.277,2786172.139
全家淡水新莊店,226227867,新北市淡水區淡金路一段１６６號,19852,121.4539838,25.1801459,343374.026,2786032.931
全家淡水摩洛哥店,286268106,新北市淡水區淡金路３８巷７０號,53946,121.4581382,25.1610645,343768.536,2783914.717
全家淡水青水店,226209862,新北市淡水區清水街９－５號一樓,52354,121.4446234,25.1702512,342417.965,2784947.879
全家淡水濱海店,226228293,新北市淡水區濱海路一段３０８號,53190,121.4402265,25.1898308,341999.906,2787121.61
