name,tel,address,商店編號,lng,lat,X,Y
全家蘆洲恆德店,282814638,新北市蘆洲區三民路２６巷２２號，２４號,11890,121.4773763,25.0829202,345610.091,2775237.682
全家蘆洲希望店,282866754,新北市蘆洲區三民路３７８之３號１樓,57042,121.4641206,25.0919994,344284.477,2776258.394
全家蘆洲中原店,222850171,新北市蘆洲區中原路３號１樓,61923,121.461624,25.083534,344021.996,2775323.662
全家蘆洲新福原店,222892264,新北市蘆洲區中原路７０號,52795,121.4583114,25.0821265,343686.09,2775171.581
全家蘆洲徐匯店,282811345,新北市蘆洲區中山一路２５號１樓,58448,121.47928,25.080707,345799.35,2774990.395
全家徐匯廣場店,282811061,新北市蘆洲區中山一路６號１樓,62289,121.4806307,25.0803608,345935.16,2774950.519
全家蘆洲保正店,282811438,新北市蘆洲區中正路１８１－１號部份及２樓全部,58590,121.468691,25.0853899,344737.142,2775521.117
全家蘆洲正原店,222892773,新北市蘆洲區中正路１８５巷１９號,11977,121.4674245,25.0848235,344608.686,2775459.833
全家蘆洲興賢店,282866445,新北市蘆洲區中興街６０號１樓,18711,121.4819876,25.087592,346081.026,2775749.877
全家蘆洲華安店,228488839,新北市蘆洲區中華街６巷５２號１樓,14271,121.4623851,25.0826754,344097.683,2775227.693
全家蘆洲中央店,282850698,新北市蘆洲區仁復里５鄰中央路５６號,12005,121.4734773,25.0836533,345217.733,2775323.315
全家蘆洲新民愛店,228470046,新北市蘆洲區仁愛街８１號１樓,51366,121.4712399,25.0938666,345004.859,2776457.052
全家蘆洲信義店,282854161,新北市蘆洲區信義路２２０號１樓,12757,121.4790728,25.0852092,345784.063,2775489.275
全家蘆洲光華店,282823555,新北市蘆洲區光華路１３２巷１號，１３４號１樓,10826,121.4662883,25.0825368,344491.209,2775207.868
全家蘆洲金華店,222827493,新北市蘆洲區光華路１５０巷３８號１樓,51139,121.465048,25.083443,344367.245,2775309.656
全家蘆洲中華店,282814768,新北市蘆洲區和平路１２２，１２４號,11218,121.4675108,25.0801306,344611.496,2774939.967
全家蘆洲復興店,282852663,新北市蘆洲區復興路１１號１樓,19639,121.4719605,25.0853927,345066.92,2775517.693
全家蘆洲復江店,222881963,新北市蘆洲區復興路１５０．１５２號一樓,15011,121.4771891,25.0877511,345597.24,2775772.945
全家蘆洲永成店,228487328,新北市蘆洲區成功里永樂街８３號一樓,12463,121.4559078,25.0887033,343451.972,2775902.774
全家蘆洲玉清店,282822002,新北市蘆洲區民族路１７８號，１８０號一樓,10949,121.4799415,25.0867584,345873.614,2775659.871
全家蘆洲名族店,282852406,新北市蘆洲區民族路２５１號１樓,56020,121.4768065,25.0902866,345561.817,2776054.202
全家蘆洲民華店,282831441,新北市蘆洲區民族路４２２巷８２弄１４，１６號,11330,121.4738469,25.0938135,345267.726,2776448.197
全家蘆洲保佑店,282855113,新北市蘆洲區民族路４２３號,52933,121.4682846,25.0892409,344700.987,2775948.104
全家蘆洲民星店,228472257,新北市蘆洲區民族路４２４，４２４之１號１樓,10862,121.4739454,25.0919609,345275.342,2776242.898
全家蘆洲民仁店,282835024,新北市蘆洲區民族路４４８號,11596,121.4724706,25.0920451,345126.702,2776253.905
全家蘆洲水湳店,228489350,新北市蘆洲區民族路５００號１樓,61392,121.4696112,25.0905011,344836.37,2776086.162
全家蘆洲仁德店,282812279,新北市蘆洲區民族路７４號１樓,14680,121.477593,25.08476,345634.244,2775441.204
全家蘆洲新鷺江店,282851197,新北市蘆洲區民權路３５號１樓,51873,121.4757739,25.0865764,345453.032,2775644.45
全家蘆洲福安店,282854511,新北市蘆洲區民權路６６號１樓,16790,121.4751079,25.0872715,345386.727,2775722.195
全家蘆洲新民生店,222852487,新北市蘆洲區民生街１２３號１樓,52335,121.4728031,25.0789981,345143.902,2774808.492
全家蘆洲新虹展店,282862521,新北市蘆洲區民義街２２巷１８號,53296,121.4715802,25.0881761,345032.049,2775826.406
全家蘆洲義興店,228484834,新北市蘆洲區民義街６８巷２、６號１樓,12818,121.4730482,25.0898042,345182.152,2776005.053
全家蘆洲永萍店,228481736,新北市蘆洲區永平街３２巷１７號１樓,60361,121.4590178,25.0915405,343769.236,2776213.43
全家蘆洲永樂店,228470014,新北市蘆洲區永樂街３８巷５７弄１號１Ｆ,10455,121.4582661,25.0900814,343691.576,2776052.69
全家蘆洲長發店,282860503,新北市蘆洲區長安街１１號１樓＆Ｂ１,51040,121.4640767,25.0789799,344263.656,2774816.453
全家蘆洲長興店,228481192,新北市蘆洲區長安街１６８號１樓,19749,121.4592484,25.0832577,343782.031,2775295.791
全家蘆洲成功店,282831373,新北市蘆洲區長安街２４８號,11077,121.4576982,25.086195,343629.383,2775622.9
全家蘆洲新安店,282868249,新北市蘆洲區長安街３０１號１樓,55657,121.4579435,25.0848922,343652.477,2775478.324
全家蘆洲安宅店,228481650,新北市蘆洲區長安街７１號１樓,57770,121.4625546,25.0798427,344111.21,2774913.759
全家蘆洲正榮店,282863084,新北市蘆洲區長榮路２０９號１樓,61746,121.4607944,25.0849308,343940.081,2775479.32
全家蘆洲長樂店,222880271,新北市蘆洲區長樂路１７６號１樓,58407,121.4627621,25.0912477,344146.513,2776176.697
全家蘆洲集賢店,222897841,新北市蘆洲區集賢路２３７號,10503,121.4818767,25.0852896,346066.975,2775494.999
全家蘆洲花園店,282863423,新北市蘆洲區集賢路２６９巷１０號１樓,57425,121.4816112,25.0835243,346037.998,2775299.782
全家蘆洲仁義店,228470017,新北市蘆洲區集賢路３６２號１樓,61682,121.4806596,25.0836321,345942.149,2775312.801
