name,tel,address,商店編號,lng,lat,X,Y
全家鶯歌行政店,226781963,新北市鶯歌區中正一路１５４號,12008,121.3522797,24.9559881,332820.856,2761326.816
全家鶯歌正鶯店,286782074,新北市鶯歌區中正一路３７１號,19276,121.3581914,24.957171,333419.364,2761450.599
全家鶯歌光明店,226703487,新北市鶯歌區光明街１７７號,62213,121.3436474,24.955703,331948.836,2761305.846
全家鶯歌新南雅店,226704972,新北市鶯歌區南雅路４４２號,54029,121.3459095,24.9539579,332174.894,2761109.776
全家鶯歌尖山店,226797270,新北市鶯歌區國中街１－３號,60693,121.3418215,24.9454251,331750.565,2760169.73
全家鶯歌尖峰店,286774110,新北市鶯歌區尖山路１２６號１樓,57792,121.3472663,24.948997,332305.209,2760558.646
全家鶯歌國慶店,226776756,新北市鶯歌區建國路１２２號１樓,54002,121.3519397,24.9541076,332783.996,2761118.951
全家鶯歌站前店,286774875,新北市鶯歌區建國路５３之５號、、５３之６號１樓,16285,121.3550975,24.9550102,333104.066,2761215.055
全家鶯歌永明店,226703617,新北市鶯歌區永明街７８號１樓,12760,121.34121,24.955868,331702.945,2761327.126
全家鶯歌鶯桃店,226706210,新北市鶯歌區鶯桃路４５號１樓,18699,121.3420419,24.9515786,331781.144,2760851.012
