Date,Number,Name,X,Y,Demand,W_S,W_F,Service_time,N_V,C_V1,C_V2,C_V3
20240301,0,瑞芳,375487.619,2777331.953,0,0,86400,0,3,1800,1800,1800
20240301,58527,全家台大醫院店,349754.167,2770496.156,9,0,86400,600,3,1800,1800,1800
20240301,52555,全家新惠安店,348475.162,2769278.775,15,0,86400,600,3,1800,1800,1800
20240301,18805,全家南機場店,348404.495,2769167.004,12,0,86400,600,3,1800,1800,1800
20240301,54785,全家新東門店,349800.6,2770271.389,0,0,86400,600,3,1800,1800,1800
20240301,10112,全家南陽店,349481.721,2770972.338,2,0,86400,600,3,1800,1800,1800
20240301,53115,全家新德店,351036.078,2770916.547,2,0,86400,600,3,1800,1800,1800
20240301,60487,全家正陽店,349489.774,2771091.059,8,0,86400,600,3,1800,1800,1800
20240301,58369,全家博愛店,349015.634,2770923.369,0,0,86400,600,3,1800,1800,1800
20240301,12744,全家和鄰店,349717.9,2768925.699,3,0,86400,600,3,1800,1800,1800
20240301,60549,全家嶺先店,349759.905,2768607.382,11,0,86400,600,3,1800,1800,1800
20240301,11554,全家寶慶店,348808.242,2770648.988,5,0,86400,600,3,1800,1800,1800
20240301,19227,全家和醫店,348616.335,2769923.692,14,0,86400,600,3,1800,1800,1800
20240301,14239,全家郡王店,348890.013,2771005.9,0,0,86400,600,3,1800,1800,1800
20240301,60054,全家台六宿舍店,349934.78,2770568.383,1,0,86400,600,3,1800,1800,1800
20240301,60189,全家善導寺店,350223.043,2770985.629,7,0,86400,600,3,1800,1800,1800
20240301,58710,全家兆豐店,350965.736,2770774.344,15,0,86400,600,3,1800,1800,1800
20240301,18916,全家鴻啟店,349120.406,2771234.504,4,0,86400,600,3,1800,1800,1800
20240301,58141,全家凱撒店,349504.234,2771126.025,0,0,86400,600,3,1800,1800,1800
20240301,59102,全家北車店,349651.762,2771142.895,0,0,86400,600,3,1800,1800,1800
20240301,56918,全家亞慶店,349437.307,2771119.105,8,0,86400,600,3,1800,1800,1800
20240301,56575,全家教育大學店,349276.354,2769955.787,1,0,86400,600,3,1800,1800,1800
20240301,10886,全家西站店,349287.601,2771131.005,12,0,86400,600,3,1800,1800,1800
20240301,11059,全家文祥店,350322.161,2769980.18,0,0,86400,600,3,1800,1800,1800
20240301,60254,全家富邦店,350528.674,2770720.024,13,0,86400,600,3,1800,1800,1800
20240301,10062,全家林森南路店,350073.809,2770421.859,9,0,86400,600,3,1800,1800,1800
20240301,52543,全家新龍口店,348867.003,2769029.828,1,0,86400,600,3,1800,1800,1800
20240301,11178,全家文盛店,351090.638,2767657.32,10,0,86400,600,3,1800,1800,1800
20240301,10053,全家公館店,351276.547,2767506.482,15,0,86400,600,3,1800,1800,1800
20240301,11471,全家水源店,351361.487,2767411.756,3,0,86400,600,3,1800,1800,1800
20240301,19851,全家金門店,350220.01,2768474.767,0,0,86400,600,3,1800,1800,1800
20240301,54051,全家新廈門店,349597.93,2768808.347,0,0,86400,600,3,1800,1800,1800
20240301,55850,全家漢盛店,349298.909,2771002.9,7,0,86400,600,3,1800,1800,1800
20240301,11410,全家齊東店,350523.693,2770607.251,7,0,86400,600,3,1800,1800,1800
20240301,57358,全家福昌店,349845.1,2769269.779,5,0,86400,600,3,1800,1800,1800
20240301,61353,全家羅館店,350915.273,2767863.208,4,0,86400,600,3,1800,1800,1800
20240301,14450,全家館中店,351102.842,2767741.271,4,0,86400,600,3,1800,1800,1800
20240301,58768,全家金安店,350322.803,2768592.51,2,0,86400,600,3,1800,1800,1800
20240301,58528,全家羅安店,350136.488,2768861.046,9,0,86400,600,3,1800,1800,1800
20240301,58140,全家羅斯店,350021.233,2769053.255,8,0,86400,600,3,1800,1800,1800
20240301,57203,全家衡慶店,349231.541,2770711.457,8,0,86400,600,3,1800,1800,1800
20240301,56722,全家新衡陽店,348956.196,2770705.833,5,0,86400,600,3,1800,1800,1800
20240301,12933,全家富陽店,349439.157,2770843.451,13,0,86400,600,3,1800,1800,1800
20240301,61213,全家昌盛店,349539.515,2771039.904,15,0,86400,600,3,1800,1800,1800
20240301,61688,全家辛館店,350630.806,2768105.087,3,0,86400,600,3,1800,1800,1800
20240301,61597,全家機場捷運店,349285.373,2771408.679,4,0,86400,600,3,1800,1800,1800
20240301,14199,全家重慶店,349166.445,2770875.998,10,0,86400,600,3,1800,1800,1800
20240301,16474,全家開封店,349113.058,2771123.264,4,0,86400,600,3,1800,1800,1800
20240301,62091,全家北盛店,349624.665,2770999.77,7,0,86400,600,3,1800,1800,1800
20240301,54430,全家新仟囍店,349338.142,2770953.222,15,0,86400,600,3,1800,1800,1800
