商店名稱,電話,address,商店編號,Latitude,Longitude
全家京江店,225678224,台北市中山區一江街２２號１樓,18902,25.0526739,121.5313512
全家錦原店,225412311,台北市中山區中原街１０１號１樓,14452,25.0609288,121.5290416
全家新吉原店,225113653,台北市中山區中原街１６號１樓,54113,25.0565351,121.5287854
全家市民店,225638109,台北市中山區中山北路一段５８號,18703,25.0485402,121.5206037
全家柯達飯店,225417813,台北市中山區中山北路二段１１巷１號、３號,61939,25.0529091,121.5232915
全家聚葉店,225716328,台北市中山區中山北路二段１３７巷３４號１樓,16420,25.0616084,121.5251465
全家台鑫店,225118851,台北市中山區中山北路二段４４號１樓部份,57449,25.0528165,121.522376
全家東南店,225317972,台北市中山區中山北路二段６０號,60550,25.0566022,121.5225344
全家新國賓店,225818863,台北市中山區中山北路二段７５－１號１樓,56357,25.0574712,121.5231419
全家圓山飯店,228850843,台北市中山區中山北路四段１巷１號１樓（麒麟廳））,57899,25.0785749,121.5261429
全家中賓店,225230023,台北市中山區中山里中山北路二段５９之３號１樓,15989,25.0559278,121.523029
全家五常店,225067078,台北市中山區五常街５３巷２３號１號,14446,25.0654831,121.5397263
全家長通店,225029136,台北市中山區伊通街１０８號１樓,14513,25.0540623,121.5346835
全家金通店,225181554,台北市中山區伊通街５８號,52371,25.0515261,121.5346385
全家新北鄰店,225325010,台北市中山區北安路４５８巷４１弄４８號１樓,55780,25.078808,121.546355
全家永安店,225322254,台北市中山區北安路６３０巷７號１樓,14451,25.08286,121.549484
全家美華店,285095070,台北市中山區北安路８１９之１號,12905,25.0849942,121.5562243
全家京貿店,225066873,台北市中山區南京東路三段６５號,14196,25.052253,121.538393
全家鑫興亞店,225117690,台北市中山區南京東路二段２０號１樓,63227,25.051887,121.5288485
全家京林店,225674711,台北市中山區南京東路二段７２號１樓、７２－２號,59375,25.0518589,121.5307203
全家中山捷運站店,225507063,台北市中山區南京西路１６號Ｂ１,61268,25.0528429,121.5202994
全家合江店,225185276,台北市中山區合江街８７號一樓,53480,25.059226,121.5393027
全家德惠店,225953593,台北市中山區吉林路４４８號,10198,25.066711,121.5302321
全家松平店,225318666,台北市中山區四平街４７號,11502,25.0538263,121.5323019
全家大直店,225328875,台北市中山區大直街３３巷１號,11115,25.0821721,121.5465688
全家建國北路店,225170327,台北市中山區建國北路一段１４６號１樓,60174,25.051243,121.536358
全家欣濱江店,225159357,台北市中山區建國北路三段１０９號１樓,62783,25.0663408,121.5361284
全家建錦店,225065447,台北市中山區建國北路二段１３１號１樓及部分地下室,57357,25.0601891,121.5373197
全家南京復興店,227151377,台北市中山區復興北路１５４號１Ｆ,61075,25.0531389,121.5436868
全家金復店,228924021,台北市中山區復興北路３５６號１樓,62443,25.0603094,121.5438423
全家復崙店,227526542,台北市中山區復興北路３８號１樓,62987,25.0492581,121.5437278
全家新復店,225097685,台北市中山區復興北路５１４巷３５號,52308,25.0660747,121.5426953
全家興德店,287725312,台北市中山區復興南路一段３８號,10578,25.04548,121.5436279
全家新德城店,225995447,台北市中山區德惠街１６－７號,53032,25.0665771,121.5247074
全家德林店,225961560,台北市中山區德惠街１７３號,18831,25.0666411,121.5318943
全家新農店,225968538,台北市中山區恆安里農安街２６之３號一樓,15837,25.0647173,121.5262391
全家撫順店,225927495,台北市中山區撫順街１２之２號１樓,15193,25.0634954,121.5209544
全家鑫通店,225817485,台北市中山區新生北路一段１１６號,53679,25.0505894,121.527773
全家美林店,225678382,台北市中山區新生北路二段６２巷３８－３號,51313,25.0561155,121.525843
全家明水店,285097543,台北市中山區明水路５８１巷１１號１樓,14511,25.0801305,121.5513391
全家光輝店,225955703,台北市中山區晴光里德惠街３４之２號一樓,15523,25.0665912,121.5264762
全家朱崙店,227528615,台北市中山區朱崙街６７號,16667,25.050064,121.5423503
全家松京店,225715929,台北市中山區松江路１２２號１樓,60237,25.0524582,121.5328065
全家松茂店,225028713,台北市中山區松江路１２７之１號１樓及地下室,58109,25.0533361,121.5332865
全家光華店,225670175,台北市中山區松江路２４之１號,11139,25.0470335,121.5327543
全家權勝店,225935820,台北市中山區松江路４００號１樓及地下室,57355,25.06381,121.5329184
全家松國店,225024147,台北市中山區松江路４７３號１樓,60056,25.066791,121.5335301
全家長松店,225641508,台北市中山區松江路５０號１樓部份,63576,25.0481704,121.5327639
全家松好店,225083831,台北市中山區松江路６１之１號１樓,58619,25.0485675,121.5332515
全家長林店,225629310,台北市中山區林森北路１０７巷５４號,10693,25.049825,121.5267982
全家金林店,225629847,台北市中山區林森北路１０９號１樓,16605,25.0504072,121.5251449
全家新林森北路店,225114623,台北市中山區林森北路１１９巷５０號１樓,63321,25.0502902,121.5267654
全家復林店,225230478,台北市中山區林森北路１４９－１．１４９－２號１樓,16851,25.05148,121.525374
全家欣城店,225411007,台北市中山區林森北路２４７號１樓,63289,25.0539759,121.5257614
全家金漾店,225219884,台北市中山區林森北路３０８號,50989,25.056147,121.525367
全家林慶店,225672790,台北市中山區林森北路３７６號１樓,57327,25.0579568,121.5254315
全家新錦林店,226271008,台北市中山區林森北路３９９巷２４號１樓,62379,25.0593692,121.5261788
全家錦富店,225684923,台北市中山區林森北路４２８號１樓,52445,25.0599931,121.5253817
