time,mileage,lat,lon,road_name
0.0,0.0,25.04294,121.58347,中坡南路
5.0,17.0,25.04311,121.58321,中坡南路
10.0,34.0,25.04318,121.58312,中坡南路
15.0,51.0,25.04323,121.58307,中坡南路
20.0,68.0,25.04325,121.58305,中坡南路
25.0,85.0,25.04328,121.58302,中坡南路
30.0,102.0,25.0433,121.58299,中坡南路
35.0,119.0,25.04339,121.58288,中坡南路
40.0,136.0,25.04343,121.58284,中坡南路
45.0,153.0,25.0435,121.58276,中坡南路
50.0,170.0,25.04372,121.5825,中坡南路
55.0,187.0,25.04378,121.58244,中坡南路
60.0,204.0,25.04418,121.58197,left
65.125,219.125,25.04425,121.5819,left
70.25,234.25,25.04414,121.58183,left
75.375,249.375,25.04406,121.58177,left
80.5,264.5,25.04387,121.58164,left
85.625,279.625,25.0438,121.58159,left
90.75,294.75,25.04376,121.58156,left
95.875,309.875,25.04368,121.5815,left
101.0,325.0,25.04342,121.58131,大道路
105.6470588235294,344.94117647058823,25.04329,121.58121,大道路
110.29411764705881,364.88235294117646,25.04318,121.58111,大道路
114.94117647058822,384.8235294117647,25.04311,121.58104,大道路
119.58823529411762,404.7647058823529,25.04304,121.58113,大道路
124.23529411764703,424.70588235294116,25.04294,121.58122,大道路
128.88235294117644,444.6470588235294,25.04288,121.58127,大道路
133.52941176470586,464.5882352941176,25.04286,121.58129,大道路
138.17647058823528,484.52941176470586,25.04264,121.58145,大道路
142.8235294117647,504.4705882352941,25.04262,121.58146,大道路
147.47058823529412,524.4117647058823,25.04227,121.58168,大道路
152.11764705882354,544.3529411764706,25.04193,121.5819,大道路
156.76470588235296,564.2941176470589,25.04164,121.58209,大道路
161.41176470588238,584.2352941176472,25.04159,121.58212,大道路
166.0588235294118,604.1764705882355,25.04122,121.5823,大道路
170.70588235294122,624.1176470588238,25.0412,121.58231,大道路
175.35294117647064,644.058823529412,25.04103,121.58239,大道路
180.00000000000006,664.0000000000003,25.04082,121.58248,大道路
182.00000000000006,676.0000000000003,25.04082,121.58248,大道路
