time,mileage,lat,lon,road_name
0.0,0.0,25.03415,121.55245,安和路一段
8.25,23.5,25.03414,121.55245,安和路一段
16.5,47.0,25.03387,121.55244,安和路一段
24.75,70.5,25.03344,121.55243,安和路一段
33.0,94.0,25.03331,121.55242,信義路四段
41.166666666666664,125.5,25.03331,121.55251,信義路四段
49.33333333333333,157.0,25.03331,121.55275,信義路四段
57.49999999999999,188.5,25.03329,121.55337,信義路四段
65.66666666666666,220.0,25.03328,121.55379,信義路四段
73.83333333333333,251.5,25.03327,121.55407,信義路四段
82.0,283.0,25.03327,121.5543,信義路四段265巷
85.5,297.5,25.0337,121.55431,信義路四段265巷
89.0,312.0,25.03381,121.55431,信義路四段265巷
92.5,326.5,25.03383,121.55432,信義路四段265巷
96.0,341.0,25.03384,121.55433,信義路四段265巷
99.5,355.5,25.03396,121.55436,信義路四段265巷
103.0,370.0,25.03403,121.55438,信義路四段265巷
106.5,384.5,25.03408,121.5544,信義路四段265巷
110.0,399.0,25.03414,121.55443,信義路四段265巷
113.5,413.5,25.0342,121.55445,信義路四段265巷
117.0,428.0,25.03423,121.55449,信義路四段265巷
120.5,442.5,25.03429,121.55455,信義路四段265巷
124.0,457.0,25.03435,121.55461,信義路四段265巷
127.5,471.5,25.03445,121.55469,信義路四段265巷
131.0,486.0,25.03449,121.55476,信義路四段265巷
134.5,500.5,25.03456,121.55489,信義路四段265巷
138.0,515.0,25.03461,121.55501,信義路四段265巷
141.5,529.5,25.03468,121.55508,信義路四段265巷
145.0,544.0,25.035,121.55575,信義路四段265巷
148.5,558.5,25.03508,121.55592,信義路四段265巷
152.0,573.0,25.0351,121.55596,延吉街
159.54545454545453,598.8181818181819,25.03543,121.5557,延吉街
167.09090909090907,624.6363636363637,25.03553,121.55567,延吉街
174.6363636363636,650.4545454545456,25.0356,121.55566,延吉街
182.18181818181813,676.2727272727275,25.03582,121.55563,延吉街
189.72727272727266,702.0909090909093,25.03598,121.55562,延吉街
197.2727272727272,727.9090909090912,25.03624,121.5556,延吉街
204.81818181818173,753.7272727272731,25.03653,121.55557,延吉街
212.36363636363626,779.545454545455,25.03661,121.55556,延吉街
219.9090909090908,805.3636363636368,25.0367,121.55555,延吉街
227.45454545454533,831.1818181818187,25.03702,121.55551,延吉街
234.99999999999986,857.0000000000006,25.03755,121.55545,仁愛路四段
265.4999999999999,959.5000000000006,25.03752,121.55689,仁愛路四段
295.9999999999999,1062.0000000000005,25.03751,121.55749,光復南路
328.9999999999999,1168.0000000000005,25.03751,121.55749,光復南路
