time,mileage,lat,lon,road_name
0.0,0.0,25.03415,121.55245,安和路一段
8.25,23.5,25.03414,121.55245,安和路一段
16.5,47.0,25.03387,121.55244,安和路一段
24.75,70.5,25.03344,121.55243,安和路一段
33.0,94.0,25.03331,121.55242,信義路四段
41.166666666666664,125.5,25.03331,121.55251,信義路四段
49.33333333333333,157.0,25.03331,121.55275,信義路四段
57.49999999999999,188.5,25.03329,121.55337,信義路四段
65.66666666666666,220.0,25.03328,121.55379,信義路四段
73.83333333333333,251.5,25.03327,121.55407,信義路四段
82.0,283.0,25.03327,121.5543,信義路四段265巷
90.5,310.0,25.0337,121.55431,信義路四段265巷
99.0,337.0,25.0337,121.55431,信義路四段265巷
