time,mileage,lat,lon,road_name
0.0,0.0,25.03666,121.55352,仁愛路四段266巷15弄
23.0,70.0,25.03668,121.55283,仁愛路四段266巷
37.333333333333336,104.66666666666666,25.03677,121.55288,仁愛路四段266巷
51.66666666666667,139.33333333333331,25.03709,121.55288,仁愛路四段266巷
66.0,173.99999999999997,25.03761,121.55289,忠孝東路四段216巷
73.75,199.49999999999997,25.03772,121.55289,忠孝東路四段216巷
81.5,224.99999999999997,25.03784,121.55289,忠孝東路四段216巷
89.25,250.49999999999997,25.03796,121.5529,忠孝東路四段216巷
97.0,276.0,25.03853,121.55291,仁愛路四段345巷2弄
128.0,390.0,25.0385,121.55404,仁愛路四段345巷5弄
144.0,450.0,25.03848,121.55471,仁愛路四段345巷5弄
160.0,510.0,25.03847,121.55524,光復南路346巷
183.5,607.0,25.03843,121.55707,光復南路346巷
207.0,704.0,25.03844,121.55716,光復南路290巷
212.0,725.1666666666666,25.0385,121.5573,光復南路290巷
217.0,746.3333333333333,25.03863,121.55721,光復南路290巷
222.0,767.4999999999999,25.03878,121.55707,光復南路290巷
227.0,788.6666666666665,25.03885,121.55701,光復南路290巷
232.0,809.8333333333331,25.03897,121.5569,光復南路290巷
237.0,830.9999999999998,25.03937,121.55676,光復南路290巷
274.0,910.9999999999998,25.03932,121.55755,光復南路
324.0,918.9999999999998,25.03932,121.55755,光復南路
