time,mileage,lat,lon,road_name
0.0,0.0,25.03925,121.55755,光復南路
7.5,38.5,25.03857,121.55753,光復南路
15.0,77.0,25.03845,121.55752,光復南路
22.5,115.5,25.03814,121.55751,光復南路
30.0,154.0,25.03784,121.55749,光復南路
37.5,192.5,25.03774,121.55748,光復南路
45.0,231.0,25.03763,121.55748,光復南路
52.5,269.5,25.03751,121.55749,光復南路
60.0,308.0,25.03647,121.55749,光復南路420巷
90.0,405.0,25.03649,121.55687,光復南路420巷
120.0,502.0,25.03653,121.55557,延吉街
125.0,511.0,25.03661,121.55556,仁愛路四段300巷17弄
133.75,539.25,25.03662,121.55524,仁愛路四段300巷17弄
142.5,567.5,25.03663,121.55506,仁愛路四段300巷17弄
151.25,595.75,25.03663,121.55481,仁愛路四段300巷17弄
160.0,624.0,25.03664,121.55444,仁愛路四段266巷15弄
191.0,716.0,25.03664,121.55444,仁愛路四段266巷15弄
