time,mileage,lat,lon,road_name
0.0,0.0,25.04093,121.57545,忠孝東路
10.4375,51.25,25.04093,121.57533,忠孝東路
20.875,102.5,25.04096,121.57405,忠孝東路
31.3125,153.75,25.04097,121.57381,忠孝東路
41.75,205.0,25.04101,121.57254,忠孝東路
52.1875,256.25,25.04103,121.57211,忠孝東路
62.625,307.5,25.04103,121.57193,忠孝東路
73.0625,358.75,25.04105,121.57134,忠孝東路
83.5,410.0,25.04105,121.57117,忠孝東路
93.9375,461.25,25.04106,121.57098,忠孝東路
104.375,512.5,25.04108,121.57017,忠孝東路
114.8125,563.75,25.04108,121.56963,忠孝東路
125.25,615.0,25.04111,121.56911,忠孝東路
135.6875,666.25,25.04111,121.56866,忠孝東路
146.125,717.5,25.04112,121.56855,忠孝東路
156.5625,768.75,25.04112,121.56841,忠孝東路
167.0,820.0,25.04115,121.56731,忠孝東路五段71巷
175.0,834.6,25.04126,121.56731,忠孝東路五段71巷
183.0,849.2,25.04133,121.56731,忠孝東路五段71巷
191.0,863.8000000000001,25.04161,121.56731,忠孝東路五段71巷
199.0,878.4000000000001,25.04178,121.56732,忠孝東路五段71巷
207.0,893.0000000000001,25.04178,121.56732,忠孝東路五段71巷
