time,mileage,lat,lon,road_name
0.0,0.0,25.04131,121.55638,忠孝東路
3.0,17.0,25.04131,121.55656,光復南路260巷
4.65625,22.46875,25.04099,121.55656,光復南路260巷
6.3125,27.9375,25.04089,121.55657,光復南路260巷
7.96875,33.40625,25.04087,121.55657,光復南路260巷
9.625,38.875,25.04085,121.55657,光復南路260巷
11.28125,44.34375,25.04084,121.55658,光復南路260巷
12.9375,49.8125,25.04083,121.55658,光復南路260巷
14.59375,55.28125,25.04081,121.55659,光復南路260巷
16.25,60.75,25.0408,121.55659,光復南路260巷
17.90625,66.21875,25.0408,121.55658,光復南路260巷
19.5625,71.6875,25.04079,121.55658,光復南路260巷
21.21875,77.15625,25.04078,121.55658,光復南路260巷
22.875,82.625,25.04077,121.55658,光復南路260巷
24.53125,88.09375,25.04076,121.55658,光復南路260巷
26.1875,93.5625,25.04075,121.55658,光復南路260巷
27.84375,99.03125,25.04073,121.55658,光復南路260巷
29.5,104.5,25.04073,121.55659,光復南路260巷
31.15625,109.96875,25.04072,121.55659,光復南路260巷
32.8125,115.4375,25.04071,121.55659,光復南路260巷
34.46875,120.90625,25.04071,121.5566,光復南路260巷
36.125,126.375,25.04071,121.55661,光復南路260巷
37.78125,131.84375,25.0407,121.55661,光復南路260巷
39.4375,137.3125,25.0407,121.55662,光復南路260巷
41.09375,142.78125,25.04069,121.55662,光復南路260巷
42.75,148.25,25.04069,121.55665,光復南路260巷
44.40625,153.71875,25.0405,121.55665,光復南路260巷
46.0625,159.1875,25.04032,121.55664,光復南路260巷
47.71875,164.65625,25.04025,121.55665,光復南路260巷
49.375,170.125,25.04025,121.55662,光復南路260巷
51.03125,175.59375,25.04025,121.55659,光復南路260巷
52.6875,181.0625,25.04014,121.55659,光復南路260巷
54.34375,186.53125,25.03997,121.5566,光復南路260巷
56.0,192.0,25.03982,121.55661,光復南路280巷
81.0,280.0,25.03983,121.55652,光復南路280巷
106.0,368.0,25.03986,121.55487,延吉街138巷
129.0,449.0,25.03988,121.55406,忠孝東路四段216巷27弄
147.5,506.5,25.03991,121.55329,忠孝東路四段216巷27弄
166.0,564.0,25.03991,121.55293,忠孝東路四段216巷
186.0,618.25,25.03945,121.55292,忠孝東路四段216巷
206.0,672.5,25.03898,121.55291,忠孝東路四段216巷
226.0,726.75,25.03853,121.55291,忠孝東路四段216巷
246.0,781.0,25.03796,121.5529,仁愛路四段
254.4,820.4,25.03784,121.55289,仁愛路四段
262.8,859.8,25.03772,121.55289,仁愛路四段
271.2,899.1999999999999,25.03761,121.55289,仁愛路四段
279.59999999999997,938.5999999999999,25.03758,121.55381,仁愛路四段
287.99999999999994,977.9999999999999,25.03757,121.55445,仁愛路四段300巷
301.99999999999994,1010.9999999999999,25.03706,121.55444,仁愛路四段300巷
315.99999999999994,1044.0,25.03706,121.55444,仁愛路四段300巷
