time,mileage,lat,lon,road_name
0.0,0.0,25.04069,121.58498,中坡南路
5.5,19.5,25.03998,121.58458,中坡南路
11.0,39.0,25.03963,121.58437,中坡南路
16.5,58.5,25.03954,121.58431,中坡南路
22.0,78.0,25.03949,121.58428,中坡南路
27.5,97.5,25.03944,121.58426,中坡南路
33.0,117.0,25.0394,121.58424,中坡南路
38.5,136.5,25.03937,121.58423,中坡南路
44.0,156.0,25.03931,121.58421,中坡南路
49.5,175.5,25.03929,121.58419,中坡南路
55.0,195.0,25.03916,121.58417,中坡南路
60.5,214.5,25.03914,121.58417,中坡南路
66.0,234.0,25.03869,121.58412,中坡南路
71.5,253.5,25.03846,121.58411,中坡南路
77.0,273.0,25.03841,121.58411,福德街
78.44444444444444,278.8888888888889,25.03832,121.58405,福德街
79.88888888888889,284.7777777777778,25.03828,121.58403,福德街
81.33333333333333,290.66666666666674,25.03826,121.58401,福德街
82.77777777777777,296.55555555555566,25.03821,121.58398,福德街
84.22222222222221,302.44444444444457,25.03818,121.58395,福德街
85.66666666666666,308.3333333333335,25.03816,121.58392,福德街
87.1111111111111,314.2222222222224,25.03814,121.58389,福德街
88.55555555555554,320.1111111111113,25.03811,121.58386,福德街
89.99999999999999,326.0000000000002,25.03806,121.58376,大道路
94.7142857142857,348.85714285714306,25.03826,121.58368,大道路
99.4285714285714,371.7142857142859,25.03838,121.58362,大道路
104.14285714285711,394.5714285714287,25.03852,121.58354,大道路
108.85714285714282,417.42857142857156,25.03889,121.58337,大道路
113.57142857142853,440.2857142857144,25.03932,121.58318,大道路
118.28571428571423,463.1428571428572,25.03965,121.58303,大道路
122.99999999999994,486.00000000000006,25.03991,121.58291,大道路
127.71428571428565,508.8571428571429,25.03998,121.58288,大道路
132.42857142857136,531.7142857142858,25.04011,121.58282,大道路
137.14285714285708,554.5714285714287,25.0402,121.58278,大道路
141.8571428571428,577.4285714285716,25.04028,121.58274,大道路
146.57142857142853,600.2857142857144,25.04044,121.58266,大道路
151.28571428571425,623.1428571428573,25.0406,121.58259,大道路
155.99999999999997,646.0000000000002,25.0406,121.58259,大道路
