time,mileage,lat,lon,road_name
0.0,0.0,25.04181,121.56732,忠孝東路五段71巷
6.2,14.6,25.04178,121.56732,忠孝東路五段71巷
12.4,29.2,25.04161,121.56731,忠孝東路五段71巷
18.6,43.8,25.04133,121.56731,忠孝東路五段71巷
24.8,58.4,25.04126,121.56731,忠孝東路五段71巷
31.0,73.0,25.04115,121.56731,忠孝東路
41.5,106.25,25.04116,121.56685,忠孝東路
52.0,139.5,25.04118,121.56626,忠孝東路
62.5,172.75,25.04118,121.56602,忠孝東路
73.0,206.0,25.0412,121.56547,忠孝東路
83.5,239.25,25.0412,121.56531,忠孝東路
94.0,272.5,25.04121,121.56514,忠孝東路
104.5,305.75,25.04122,121.56489,忠孝東路
115.0,339.0,25.04123,121.56467,基隆路一段
126.0,365.75,25.04123,121.56463,基隆路一段
137.0,392.5,25.04152,121.56481,基隆路一段
148.0,419.25,25.04171,121.56493,基隆路一段
159.0,446.0,25.04171,121.56493,基隆路一段
