time,mileage,lat,lon,road_name
0.0,0.0,25.04316,121.57787,松山路
2.0,12.0,25.04327,121.57787,松山路292巷
13.0,47.5,25.04327,121.57775,松山路292巷
24.0,83.0,25.04327,121.57717,虎林街82巷
37.666666666666664,142.0,25.04329,121.57673,虎林街82巷
51.33333333333333,201.0,25.0433,121.57627,虎林街82巷
65.0,260.0,25.04333,121.57541,忠孝東路五段423巷
72.0,282.25,25.04315,121.57541,忠孝東路五段423巷
79.0,304.5,25.04312,121.57541,忠孝東路五段423巷
86.0,326.75,25.04291,121.57539,忠孝東路五段423巷
93.0,349.0,25.04274,121.57539,忠孝東路五段423巷
100.0,371.25,25.04254,121.57538,忠孝東路五段423巷
107.0,393.5,25.04215,121.57537,忠孝東路五段423巷
114.0,415.75,25.04177,121.57536,忠孝東路五段423巷
121.0,438.0,25.04158,121.57535,忠孝東路五段423巷
128.0,460.25,25.04139,121.57535,忠孝東路五段423巷
135.0,482.5,25.04121,121.57534,忠孝東路五段423巷
142.0,504.75,25.04103,121.57534,忠孝東路五段423巷
149.0,527.0,25.04093,121.57533,忠孝東路
161.2,580.8666666666667,25.04096,121.57405,忠孝東路
173.39999999999998,634.7333333333333,25.04097,121.57381,忠孝東路
185.59999999999997,688.6,25.04101,121.57254,忠孝東路
197.79999999999995,742.4666666666667,25.04103,121.57211,忠孝東路
209.99999999999994,796.3333333333334,25.04103,121.57193,忠孝東路
222.19999999999993,850.2,25.04105,121.57134,忠孝東路
234.39999999999992,904.0666666666667,25.04105,121.57117,忠孝東路
246.5999999999999,957.9333333333334,25.04106,121.57098,忠孝東路
258.7999999999999,1011.8000000000001,25.04108,121.57017,忠孝東路
270.9999999999999,1065.6666666666667,25.04108,121.56963,忠孝東路
283.1999999999999,1119.5333333333333,25.04111,121.56911,忠孝東路
295.39999999999986,1173.3999999999999,25.04111,121.56866,忠孝東路
307.59999999999985,1227.2666666666664,25.04112,121.56855,忠孝東路
319.79999999999984,1281.133333333333,25.04112,121.56841,忠孝東路
331.99999999999983,1334.9999999999995,25.04115,121.56731,忠孝東路五段71巷
339.99999999999983,1349.5999999999995,25.04126,121.56731,忠孝東路五段71巷
347.99999999999983,1364.1999999999994,25.04133,121.56731,忠孝東路五段71巷
355.99999999999983,1378.7999999999993,25.04161,121.56731,忠孝東路五段71巷
363.99999999999983,1393.3999999999992,25.04178,121.56732,忠孝東路五段71巷
371.99999999999983,1407.999999999999,25.04178,121.56732,忠孝東路五段71巷
