time,mileage,lat,lon,road_name
0.0,0.0,25.03375,121.55431,信義路四段265巷
1.5,6.5,25.03381,121.55431,信義路四段265巷
3.0,13.0,25.03383,121.55432,信義路四段265巷
4.5,19.5,25.03384,121.55433,信義路四段265巷
6.0,26.0,25.03396,121.55436,信義路四段265巷
7.5,32.5,25.03403,121.55438,信義路四段265巷
9.0,39.0,25.03408,121.5544,信義路四段265巷
10.5,45.5,25.03414,121.55443,信義路四段265巷
12.0,52.0,25.0342,121.55445,安和路一段135巷
18.625,75.875,25.03422,121.55435,安和路一段135巷
25.25,99.75,25.03423,121.55427,安和路一段135巷
31.875,123.625,25.03423,121.55388,安和路一段135巷
38.5,147.5,25.03424,121.55362,安和路一段135巷
45.125,171.375,25.03424,121.55348,安和路一段135巷
51.75,195.25,25.03424,121.55345,安和路一段135巷
58.375,219.125,25.03425,121.5534,安和路一段135巷
65.0,243.0,25.03428,121.55256,安和路一段
71.5,255.5,25.03427,121.55245,安和路一段
78.0,268.0,25.03427,121.55245,安和路一段
