TaskType_id,Delivery_Dt,Dept_Name,Route_seq,Car_licence,Store_id,Store_Name,Pl_M_Arrive_dt,Ac_Arrive_dt,Im_Arrive_dt,X,Y
12,2024-11-22,瑞芳DC,QCDC,9522B,S3001888888,瑞芳ＤＣ,2024-11-22 06:20:00,,,375487.619,2777331.953
12,2024-11-22,瑞芳DC,QC01,9522B,1001022801,國立教育店,2024-11-22 06:20:00,11/22/2024 6:43:51 AM,11/22/2024 8:50:00 AM,352509.442,2768574.801
12,2024-11-22,瑞芳DC,QC02,9522B,1001021426,敦安店,2024-11-22 06:20:00,11/22/2024 7:14:32 AM,11/22/2024 9:00:00 AM,352915.317,2769742.703
12,2024-11-22,瑞芳DC,QC03,9522B,1001016909,和信店,2024-11-22 06:20:00,11/22/2024 7:20:47 AM,11/22/2024 9:05:00 AM,353106.189,2769754.085
12,2024-11-22,瑞芳DC,QC04,9522B,1001016838,光復南路店,2024-11-22 06:20:00,11/22/2024 7:27:55 AM,11/22/2024 9:10:00 AM,353691.926,2769865.632
12,2024-11-22,瑞芳DC,QC05,9522B,1001023044,忠孝光復店,2024-11-22 06:20:00,,11/22/2024 9:20:00 AM,353530.085,2770524.594
12,2024-11-22,瑞芳DC,QC06,9522B,1001022463,國父紀念館店,2024-11-22 06:20:00,,11/22/2024 9:25:00 AM,353625.778,2770310.738
12,2024-11-22,瑞芳DC,QC07,9522B,1001023299,光新店,2024-11-22 06:20:00,,11/22/2024 9:30:00 AM,353618.408,2770012.249
12,2024-11-22,瑞芳DC,QC08,9522B,1001016473,國泰店,2024-11-22 06:20:00,,11/22/2024 9:35:00 AM,353235.271,2770016.848
12,2024-11-22,瑞芳DC,QC09,9522B,1001018206,吉泰店,2024-11-22 06:20:00,,11/22/2024 9:40:00 AM,353352.038,2770063.196
12,2024-11-22,瑞芳DC,QC10,9522B,1001021555,義和店,2024-11-22 06:20:00,11/22/2024 8:06:37 AM,11/22/2024 9:45:00 AM,353297.606,2769707.058
12,2024-11-22,瑞芳DC,QC11,9522B,1001020523,新貿店,2024-11-22 06:20:00,11/22/2024 8:14:36 AM,11/22/2024 9:50:00 AM,353773.176,2769652.851
12,2024-11-22,瑞芳DC,QC12,9522B,1001023830,南山廣場店,2024-11-22 06:20:00,11/22/2024 8:26:14 AM,11/22/2024 10:00:00 AM,354609.693,2769765.502
12,2024-11-22,瑞芳DC,QC13,9522B,1001015953,大道店,2024-11-22 06:20:00,11/22/2024 8:50:19 AM,11/22/2024 10:25:00 AM,356178.662,2770453.011
12,2024-11-22,瑞芳DC,QC14,9522B,1001022592,新中坡店,2024-11-22 06:20:00,11/22/2024 8:50:19 AM,11/22/2024 10:40:00 AM,356428.07,2770435.016
12,2024-11-22,瑞芳DC,QC15,9522B,1001021889,協和店,2024-11-22 06:20:00,11/22/2024 9:05:51 AM,11/22/2024 10:45:00 AM,356254.178,2770680.117
