TaskType_id,Delivery_Dt,Dept_Name,Route_seq,Car_licence,Store_id,Store_Name,Pl_M_Arrive_dt,Ac_Arrive_dt,Im_Arrive_dt,X,Y
4,2024-12-13,瑞芳DC,WHDC,KPD6829,S3001888888,瑞芳ＤＣ,2024-12-13 08:20:00,,,375487.619,2777331.953
4,2024-12-13,瑞芳DC,WH01,KPD6829,1001024094,基隆新澳坑店,2024-12-13 08:20:00,12/13/2024 10:03:45 AM,12/13/2024 1:30:00 PM,376761.508,2779708.34
4,2024-12-13,瑞芳DC,WH02,KPD6829,1001020866,基隆二信店,2024-12-13 08:20:00,12/13/2024 11:09:29 AM,12/13/2024 1:35:00 PM,375288.349,2781719.978
4,2024-12-13,瑞芳DC,WH03,KPD6829,1001023460,基隆新祥豐店,2024-12-13 08:20:00,12/13/2024 11:20:09 AM,12/13/2024 1:40:00 PM,375397.425,2782518.296
4,2024-12-13,瑞芳DC,WH04,KPD6829,1001019434,基隆新和一店,2024-12-13 08:20:00,12/13/2024 11:26:32 AM,12/13/2024 1:45:00 PM,374792.705,2782927.674
4,2024-12-13,瑞芳DC,WH05,KPD6829,1001021953,基隆海洋店,2024-12-13 08:20:00,12/13/2024 10:52:21 AM,12/13/2024 1:50:00 PM,375754.473,2782409.585
4,2024-12-13,瑞芳DC,WH07,KPD6829,1001023753,基隆富港店,2024-12-13 08:20:00,12/13/2024 10:45:13 AM,12/13/2024 2:00:00 PM,376552.52,2781903.954
4,2024-12-13,瑞芳DC,WH08,KPD6829,1001015396,基隆觀山店,2024-12-13 08:20:00,12/13/2024 10:33:40 AM,12/13/2024 2:05:00 PM,377626.315,2781052.881
4,2024-12-13,瑞芳DC,WH10,KPD6829,1001020465,基隆欣豐店,2024-12-13 08:20:00,12/13/2024 10:25:59 AM,12/13/2024 2:20:00 PM,376762.405,2780729.815
4,2024-12-13,瑞芳DC,WH11,KPD6829,1001021078,基隆深美店,2024-12-13 08:20:00,12/13/2024 10:12:04 AM,12/13/2024 2:30:00 PM,376048.761,2780843.073
4,2024-12-13,瑞芳DC,WH12,KPD6829,1001017150,基隆新深溪店,2024-12-13 08:20:00,12/13/2024 10:18:53 AM,12/13/2024 2:35:00 PM,376396.709,2780440.261
4,2024-12-13,瑞芳DC,WHDC,KPD6829,3001888888,瑞芳ＤＣ,2024-12-13 08:20:00,12/13/2024 8:25:44 AM,12/13/2024 5:13:00 PM,375487.619,2777331.953
