name,tel,address,商店編號,lng,lat,X,Y
全家信吉店,227866062,台北市信義區中坡北路２５號,61431,121.580735,25.045005,355991.191,2770924.993
全家新中坡店,227270460,台北市信義區中坡南路２２９號,51736,121.5851154,25.0406227,356428.07,2770435.016
全家協和店,227590819,台北市信義區中坡南路３８號１Ｆ,10245,121.5833667,25.0428191,356254.178,2770680.117
全家祥和店,227291793,台北市信義區信義路五段１５０巷４０１弄３１號,10089,121.57042,25.02409,354926.007,2768619.567
全家松友店,223460402,台北市信義區信義路六段７８號,16906,121.577016,25.035255,355604.613,2769849.101
全家松仁店,227237309,台北市信義區信義路５段１５０巷２２１號,14496,121.568751,25.028411,354762.645,2769099.906
全家松創店,227495690,台北市信義區光復南路１３３號（一號變電站庫房）,59776,121.5593832,25.0435451,353835.202,2770786.071
全家光復南路店,227294291,台北市信義區光復南路４４７之２號,10009,121.5580605,25.0352215,353691.926,2769865.632
全家復昌店,223459489,台北市信義區光復南路５０５號、５０７號及文昌街３２,16310,121.5576401,25.0320589,353645.774,2769515.818
全家富興店,227326104,台北市信義區吳興街１５６巷１６弄１號１樓,60129,121.561009,25.0287855,353981.859,2769149.663
全家北醫店,227229824,台北市信義區吳興街２６３號,10686,121.5638048,25.0270919,354261.986,2768959.098
全家盛興店,227201400,台北市信義區吳興街３３４號,55289,121.566122,25.0261195,354494.672,2768848.924
全家挹翠店,225475096,台北市信義區吳興街６００巷５６號,61292,121.5698427,25.0202755,354863.29,2768197.718
全家三興店,227232796,台北市信義區吳興街７號,11588,121.5595,25.0317675,353833.104,2769481.546
全家六張黎店,227338739,台北市信義區和平東路三段３８７號,10014,121.5575787,25.0198489,353625.173,2768163.597
全家財盛店,227130655,台北市信義區基隆路二段１１３之２號,61166,121.5571383,25.0286755,353591.146,2769141.638
全家永隆店,227678120,台北市信義區基隆路１段１４７巷７號,14406,121.5653136,25.0419415,354431.669,2770602.111
全家大道店,227276692,台北市信義區大道路７９號１樓,12233,121.5826419,25.0407616,356178.662,2770453.011
全家崇德店,227333493,台北市信義區崇德街２９號,18701,121.5538742,25.0244329,353256.755,2768675.273
全家台北１０１店,281017976,台北市信義區市府路４５號Ｂ１（商場編號５３）,59399,121.5643085,25.0338492,354320.751,2769706.945
全家忠信店,227422963,台北市信義區忠孝東路五段４２５號１樓及地下室,15318,121.575451,25.041112,355453.529,2770499.437
全家松安店,287683628,台北市信義區忠孝東路五段４６５號１樓,60836,121.5771219,25.0410336,355622.027,2770488.98
全家忠美店,227274597,台北市信義區忠孝東路五段４９８號１樓及地下１樓,59610,121.578473,25.0408819,355758.172,2770470.747
全家新忠隆店,227493532,台北市信義區忠孝東路五段７１巷８號壹樓,52808,121.5672043,25.0417726,354622.236,2770581.384
全家聯合店,227685432,台北市信義區忠孝東路四段５５３巷６弄１７號１樓,12899,121.5634999,25.0423601,354249.165,2770650.414
全家南山廣場店,227585233,台北市信義區松仁路１００號６樓之１,58449,121.5671656,25.0344055,354609.693,2769765.502
全家新安興店,227204938,台北市信義區松仁路２４０巷２號,56145,121.5692001,25.0248579,354803.805,2768705.913
全家永孝店,227678185,台北市信義區松信路１４５號,10890,121.572162,25.043543,355124.52,2770772.173
全家建鑫店,227233205,台北市信義區松壽路２４號,14277,121.5676908,25.0353759,354663.825,2769872.415
全家松山車站店,227471585,台北市信義區松山路１１號,60236,121.5791866,25.0493066,355839.97,2771403.043
全家松傑店,227656379,台北市信義區松山路１１號地下１樓,62641,121.5786341,25.0492345,355784.144,2771395.644
全家松盛店,227606140,台北市信義區松山路１５３號,11992,121.5779352,25.0465425,355710.498,2771098.24
全家松永店,223465356,台北市信義區松德路１５７號,56465,121.5749443,25.0365336,355397.066,2769992.908
全家信安店,287895039,台北市信義區松德路２００巷１３號１樓,53880,121.5736941,25.0345309,355268.582,2769772.433
全家新信德店,223465799,台北市信義區松德路２８３號,53167,121.5746406,25.032428,355361.634,2769538.527
全家永吉二店,227491648,台北市信義區永吉路２２３號,10403,121.5741592,25.0457259,355328.575,2771011.809
全家厚雅店,227659814,台北市信義區永吉路３０巷１１８號１樓,57356,121.5686637,25.043123,354771.066,2770729.386
全家景聯店,287861164,台北市信義區莊敬路１９０號１樓及地下室,60557,121.5611362,25.0307553,353997.013,2769367.687
全家莊新店,227581883,台北市信義區莊敬路３０７號,54036,121.563382,25.028451,354220.919,2769110.074
全家莊敬店,227201156,台北市信義區莊敬路３７４號,11004,121.5648783,25.0275297,354370.826,2769006.436
全家欣富台店,227491525,台北市信義區虎林街１２０巷１６５號,52156,121.5742114,25.0422431,355329.777,2770626.026
全家海華店,287890667,台北市信義區虎林街１３２巷８１號１樓,11460,121.5741078,25.0402508,355317.0,2770405.484
全家忠林店,287891305,台北市信義區虎林街１６６號１樓及地下室,15453,121.5764427,25.0390527,355551.19,2770270.312
全家新松林店,227493109,台北市信義區虎林街６１－４號,52985,121.577116,25.046285,355627.547,2771070.59
全家永林店,227470209,台北市信義區虎林街８２巷２３號,11092,121.5762287,25.0434378,355534.707,2770756.198
全家逸鑫店,227206664,台北市信義區逸仙路４２巷２３號,58712,121.563093,25.0403546,354205.752,2770428.736
