,瑞芳dc,全家信吉店,全家新中坡店,全家協和店,全家祥和店,全家松友店,全家松仁店,全家松創店,全家光復南路店,全家復昌店,全家富興店,全家北醫店,全家盛興店,全家挹翠店,全家三興店,全家六張黎店,全家財盛店,全家永隆店,全家大道店,全家崇德店,全家台北１０１店,全家忠信店,全家松安店,全家忠美店,全家新忠隆店,全家聯合店,全家南山廣場店,全家新安興店,全家永孝店,全家建鑫店,全家松山車站店,全家松傑店,全家松盛店,全家松永店,全家信安店,全家新信德店,全家永吉二店,全家厚雅店,全家景聯店,全家莊新店,全家莊敬店,全家欣富台店,全家海華店,全家忠林店,全家新松林店,全家永林店,全家逸鑫店
瑞芳dc,0,1913,1973,1917,2109,1905,1974,1910,1872,1877,2114,2131,2119,2209,2139,2133,1984,1736,1952,2096,1968,2038,1989,2003,1807,1762,2016,2079,1879,2058,1772,1785,1957,1911,1929,1869,1895,1771,2100,2105,2117,1977,2087,2104,1984,2007,1769
全家信吉店,1757,0,166,110,762,341,627,671,776,754,767,784,772,862,793,1151,861,510,146,972,621,239,190,204,430,539,609,732,353,651,255,267,246,360,394,441,252,502,753,758,771,303,288,305,227,271,665
全家新中坡店,1832,286,0,86,671,248,537,778,758,663,677,694,681,772,702,1060,770,617,167,881,530,346,298,311,537,647,578,642,460,621,374,387,365,376,433,355,372,609,662,667,680,410,395,412,347,378,772
全家協和店,1772,226,78,0,714,292,580,718,823,706,720,737,724,815,745,1103,814,557,87,925,574,286,237,251,476,586,656,685,400,698,314,327,305,419,441,399,312,548,705,710,723,350,335,352,287,318,712
全家祥和店,2148,800,683,731,0,425,193,777,654,541,370,196,132,102,506,619,442,616,656,471,418,602,627,605,536,645,457,83,609,499,902,915,871,431,426,389,716,627,365,274,231,630,541,544,764,683,680
全家松友店,1962,423,258,306,423,0,288,662,509,415,428,445,433,523,453,811,522,501,231,633,282,298,250,227,421,531,330,393,388,372,492,505,494,128,185,145,411,512,414,419,431,322,238,241,387,312,538
全家松仁店,1993,645,528,576,135,270,0,622,499,396,250,209,183,230,356,565,397,461,501,417,263,447,472,450,380,490,302,144,454,344,747,760,716,276,271,234,561,472,258,182,182,475,386,389,609,528,524
全家松創店,1873,564,731,676,979,802,844,0,524,529,770,851,906,1079,719,926,636,388,711,747,593,550,629,621,492,414,744,949,436,786,556,568,578,695,659,744,423,423,683,824,848,504,566,691,497,509,421
全家光復南路店,2042,725,776,721,619,528,474,250,0,197,385,443,486,634,339,594,305,350,704,416,333,520,597,576,438,356,444,573,527,486,724,737,747,534,525,492,585,479,302,371,428,548,504,629,659,601,311
全家復昌店,1876,725,731,805,563,473,418,334,119,0,280,387,430,578,283,484,194,349,704,305,341,604,675,661,438,440,360,517,611,402,785,798,814,479,469,437,584,479,247,315,373,632,588,592,658,685,395
全家富興店,1960,804,669,717,337,411,248,571,356,239,0,161,204,352,240,396,147,429,642,248,267,588,613,591,517,631,306,291,595,348,865,877,857,417,412,375,664,558,98,89,146,616,527,530,738,669,513
全家北醫店,2074,808,691,739,207,433,212,688,485,354,182,0,65,213,319,423,246,508,664,275,275,604,635,613,537,647,314,175,611,356,944,956,879,438,427,397,743,637,177,87,65,632,549,552,772,684,531
全家盛興店,2122,783,666,714,142,408,176,760,534,402,231,64,0,148,367,487,310,557,639,339,333,585,610,588,518,628,372,110,592,414,885,898,854,413,409,372,699,610,226,135,92,613,524,527,747,666,589
全家挹翠店,2221,873,756,804,118,498,266,850,693,562,390,223,159,0,526,646,469,689,729,498,491,675,700,677,608,718,529,156,682,572,975,988,944,503,499,462,789,700,385,295,252,703,614,617,837,756,752
全家三興店,1851,699,688,735,520,430,375,445,230,111,173,344,387,535,0,509,220,324,661,331,332,602,632,609,412,529,316,474,572,358,760,772,789,435,426,393,559,453,204,272,329,630,546,549,633,645,408
全家六張黎店,2063,921,909,957,540,651,476,684,469,509,279,333,398,546,461,0,230,546,883,153,539,824,853,831,634,750,538,519,794,580,981,994,1010,657,648,615,781,675,377,351,374,852,767,770,855,866,630
全家財盛店,1842,691,679,727,434,421,366,454,239,279,96,252,300,448,231,373,0,315,652,225,324,594,623,601,404,520,308,388,564,350,751,764,780,427,417,385,551,445,195,185,243,622,537,540,625,636,400
全家永隆店,1774,375,543,487,652,540,518,336,453,458,658,675,662,753,712,854,565,0,496,676,525,312,441,368,88,205,418,623,248,460,436,448,465,424,398,483,235,129,643,648,661,316,296,421,309,321,330
