,瑞芳dc,松創店,逸鑫店,台北１０１店,建鑫店,松仁店,新安興店,祥和店,挹翠店,盛興店,莊敬店,北醫店,莊新店,富興店,景聯店,三興店,復昌店,新信德店,松友店,松永店
瑞芳dc,0,1910,1769,1968,2058,1974,2079,2109,2209,2119,2117,2131,2105,2114,2100,2139,1877,1869,1905,1911
松創店,1873,0,421,593,786,844,949,979,1079,906,848,851,824,770,683,719,529,744,802,695
逸鑫店,1894,271,0,291,422,480,585,615,715,624,546,549,522,484,455,492,243,461,519,403
台北１０１店,1868,433,252,0,285,385,470,516,531,383,325,340,268,282,200,236,197,403,439,445
建鑫店,2041,502,404,258,0,250,355,385,485,395,393,407,381,390,376,444,391,282,318,324
松仁店,1993,622,524,263,344,0,144,135,230,183,182,209,182,250,258,356,396,234,270,276
新安興店,2081,709,612,351,431,125,0,58,142,118,163,182,206,302,297,438,474,321,357,363
祥和店,2148,777,680,418,499,193,83,0,102,132,231,196,274,370,365,506,541,389,425,431
挹翠店,2221,850,752,491,572,266,156,118,0,159,252,223,295,390,385,526,562,462,498,503
盛興店,2122,760,589,333,414,176,110,142,148,0,92,64,135,231,226,367,402,372,408,413
莊敬店,2053,667,520,264,344,172,172,217,232,84,0,55,66,161,156,298,333,368,404,410
北醫店,2074,688,531,275,356,212,175,207,213,65,65,0,87,182,177,319,354,397,433,438
莊新店,1987,601,495,239,320,203,202,248,263,115,57,72,0,96,91,232,267,361,397,403
富興店,1960,571,513,267,348,248,291,337,352,204,146,161,89,0,98,240,239,375,411,417
景聯店,1917,511,435,278,327,278,307,353,368,220,162,177,105,110,0,161,177,362,398,403
三興店,1851,445,408,332,358,375,474,520,535,387,329,344,272,173,204,0,111,393,430,435
復昌店,1876,334,395,341,402,418,517,563,578,430,373,387,315,280,247,283,0,437,473,479
新信德店,1969,689,565,309,399,315,420,450,550,460,458,472,446,455,440,480,442,0,137,115
松友店,1962,662,538,282,372,288,393,423,523,433,431,445,419,428,414,453,415,145,0,128
松永店,1941,578,460,334,428,340,445,475,575,485,483,497,471,480,465,505,467,153,211,0
