#,時間,時速,狀態,位置,任務
1,2024-01-23 06:40:21,0,引擎起動,新北市瑞芳區 瑞芳ＤＣ,RF_12_QD
2,2024-01-23 06:40:28,0,逾時停留,新北市瑞芳區 瑞芳ＤＣ,RF_12_QD
3,2024-01-23 06:40:43,0,手剎車 OFF,新北市瑞芳區 瑞芳ＤＣ,RF_12_QD
4,2024-01-23 06:40:58,0,逾時停留,新北市瑞芳區 瑞芳ＤＣ,RF_12_QD
5,2024-01-23 06:41:28,0,逾時停留,新北市瑞芳區 瑞芳ＤＣ,RF_12_QD
6,2024-01-23 06:41:58,0,逾時停留,新北市瑞芳區 瑞芳ＤＣ,RF_12_QD
7,2024-01-23 06:42:28,0,逾時停留,新北市瑞芳區 瑞芳ＤＣ,RF_12_QD
8,2024-01-23 06:42:58,9,行駛中,新北市瑞芳區 瑞芳ＤＣ,RF_12_QD
9,2024-01-23 06:43:28,12,行駛中,新北市瑞芳區 瑞芳ＤＣ,RF_12_QD
10,2024-01-23 06:43:58,46,行駛中,新北市瑞芳區 瑞芳ＤＣ,RF_12_QD
11,2024-01-23 06:44:28,16,行駛中,新北市瑞芳區 瑞芳ＤＣ,RF_12_QD
12,2024-01-23 06:44:38,1,手剎車 ON,新北市瑞芳區 瑞芳ＤＣ,RF_12_QD
13,2024-01-23 06:44:38,1,任務進圍籬,新北市瑞芳區 瑞芳ＤＣ,RF_12_QD
14,2024-01-23 06:44:50,0,引擎熄火,新北市瑞芳區 瑞芳ＤＣ,RF_12_QD
15,2024-01-23 06:44:50,0,任務進圍籬,新北市瑞芳區 瑞芳ＤＣ,RF_12_QD
16,2024-01-23 06:44:58,0,場內關機,新北市瑞芳區 瑞芳ＤＣ,RF_12_QD
17,2024-01-23 06:45:28,0,場內關機,新北市瑞芳區 瑞芳ＤＣ,RF_12_QD
18,2024-01-23 06:45:58,0,場內關機,新北市瑞芳區 瑞芳ＤＣ,RF_12_QD
19,2024-01-23 06:46:28,0,場內關機,新北市瑞芳區 瑞芳ＤＣ,RF_12_QD
20,2024-01-23 06:46:58,0,場內關機,新北市瑞芳區 瑞芳ＤＣ,RF_12_QD
21,2024-01-23 06:47:28,0,場內關機,新北市瑞芳區 瑞芳ＤＣ,RF_12_QD
22,2024-01-23 06:47:58,0,場內關機,新北市瑞芳區 瑞芳ＤＣ,RF_12_QD
23,2024-01-23 06:48:28,0,場內關機,新北市瑞芳區 瑞芳ＤＣ,RF_12_QD
24,2024-01-23 06:48:58,0,場內關機,新北市瑞芳區 瑞芳ＤＣ,RF_12_QD
25,2024-01-23 06:49:28,0,場內關機,新北市瑞芳區 瑞芳ＤＣ,RF_12_QD
26,2024-01-23 06:49:58,0,場內關機,新北市瑞芳區 瑞芳ＤＣ,RF_12_QD
27,2024-01-23 06:50:28,0,場內關機,新北市瑞芳區 瑞芳ＤＣ,RF_12_QD
28,2024-01-23 06:50:58,0,場內關機,新北市瑞芳區 瑞芳ＤＣ,RF_12_QD
29,2024-01-23 06:51:28,0,場內關機,新北市瑞芳區 瑞芳ＤＣ,RF_12_QD
30,2024-01-23 06:51:58,0,場內關機,新北市瑞芳區 瑞芳ＤＣ,RF_12_QD
31,2024-01-23 06:52:28,0,場內關機,新北市瑞芳區 瑞芳ＤＣ,RF_12_QD
32,2024-01-23 06:52:58,0,場內關機,新北市瑞芳區 瑞芳ＤＣ,RF_12_QD
33,2024-01-23 06:53:28,0,場內關機,新北市瑞芳區 瑞芳ＤＣ,RF_12_QD
34,2024-01-23 06:53:58,0,場內關機,新北市瑞芳區 瑞芳ＤＣ,RF_12_QD
35,2024-01-23 06:54:28,0,場內關機,新北市瑞芳區 瑞芳ＤＣ,RF_12_QD
36,2024-01-23 06:54:58,0,場內關機,新北市瑞芳區 瑞芳ＤＣ,RF_12_QD
37,2024-01-23 06:55:28,0,場內關機,新北市瑞芳區 瑞芳ＤＣ,RF_12_QD
38,2024-01-23 06:55:58,0,場內關機,新北市瑞芳區 瑞芳ＤＣ,RF_12_QD
