Date,Number,Name,X,Y,Demand,W_S,W_F,Service_time,N_V,C_V1,C_V2,C_V3
20240301,0,瑞芳,375487.619,2777331.953,0,0,86400,0,2,1800,1800,1800
20240301,63221,全家京石店,359478.492,2772708.158,0,0,86400,600,2,1800,1800,1800
20240301,60111,全家大聯大店,359577.769,2772643.287,11,0,86400,600,2,1800,1800,1800
20240301,16966,全家工業三店,359476.137,2772266.427,1,0,86400,600,2,1800,1800,1800
20240301,62993,全家德民店,355961.91,2771448.328,1,0,86400,600,2,1800,1800,1800
20240301,61647,全家小彎公宅店,357313.808,2772357.857,14,0,86400,600,2,1800,1800,1800
20240301,15117,全家工業二店,359149.083,2772385.439,7,0,86400,600,2,1800,1800,1800
20240301,58852,全家宏展店,359391.605,2772230.586,15,0,86400,600,2,1800,1800,1800
20240301,60109,全家港運店,356055.575,2771222.993,11,0,86400,600,2,1800,1800,1800
20240301,52157,全家新成鑫店,356351.469,2770848.59,0,0,86400,600,2,1800,1800,1800
20240301,12952,全家重陽店,357823.311,2772207.091,10,0,86400,600,2,1800,1800,1800
20240301,53077,全家港成店,357244.55,2771968.478,4,0,86400,600,2,1800,1800,1800
20240301,54856,全家新莊研店,360073.962,2770265.899,12,0,86400,600,2,1800,1800,1800
20240301,11489,全家中視店,358094.986,2772140.491,6,0,86400,600,2,1800,1800,1800
20240301,11826,全家興華店,358516.977,2772109.03,5,0,86400,600,2,1800,1800,1800
20240301,15287,全家向陽店,357534.235,2772028.88,0,0,86400,600,2,1800,1800,1800
20240301,59213,全家南港公宅店,358427.381,2771981.734,8,0,86400,600,2,1800,1800,1800
20240301,60526,全家港忠店,359553.863,2771808.725,10,0,86400,600,2,1800,1800,1800
20240301,52236,全家新昆陽店,357354.949,2771477.987,10,0,86400,600,2,1800,1800,1800
20240301,62962,全家南港生技店,358943.324,2771694.453,7,0,86400,600,2,1800,1800,1800
20240301,16553,全家港福店,357145.291,2770300.845,9,0,86400,600,2,1800,1800,1800
20240301,10559,全家富康店,359648.525,2771656.842,14,0,86400,600,2,1800,1800,1800
20240301,59031,全家中研店,359343.914,2771189.961,12,0,86400,600,2,1800,1800,1800
20240301,14429,全家研究院店,359449.734,2770984.432,1,0,86400,600,2,1800,1800,1800
20240301,14434,全家國興店,359837.984,2770670.794,4,0,86400,600,2,1800,1800,1800
20240301,50358,全家胡適店,359766.303,2770586.98,1,0,86400,600,2,1800,1800,1800
20240301,53755,全家工業一店,359331.783,2772235.231,2,0,86400,600,2,1800,1800,1800
20240301,0,瑞芳,375487.619,2777331.953,0,0,86400,0,2,1800,1800,1800
