Date,Name,X,Y,Demand,W_S,W_F,Service_time,N_V,C_V1,C_V2,C_V3
20240306,汐止鄉長店,364543.736,2774150.2,6,0,86400,600,3,180,180,180
20240306,欣榮店,354134.226,2763978.136,10,0,86400,600,3,180,180,180
20240306,指南店,355815.812,2764150.072,6,0,86400,600,3,180,180,180
20240306,恆光店,354523.335,2764096.734,1,0,86400,600,3,180,180,180
20240306,鑫順店,354096.513,2764249.088,12,0,86400,600,3,180,180,180
20240306,政富店,355560.181,2764561.59,4,0,86400,600,3,180,180,180
20240306,興政店,355364.453,2764602.712,11,0,86400,600,3,180,180,180
20240306,木柵路店,354702.278,2764713.505,8,0,86400,600,3,180,180,180
20240306,順輝店,353335.657,2764465.421,12,0,86400,600,3,180,180,180
20240306,文山公宅店,354036.547,2764589.105,3,0,86400,600,3,180,180,180
20240306,木興店,353719.022,2764701.335,14,0,86400,600,3,180,180,180
20240306,明興店,354132.294,2764855.22,15,0,86400,600,3,180,180,180
20240306,再興店,353997.283,2765403.262,7,0,86400,600,3,180,180,180
20240306,興萬店,354931.132,2766032.737,1,0,86400,600,3,180,180,180
20240306,景興店,352248.861,2765937.107,5,0,86400,600,3,180,180,180
20240306,中科大店,353398.681,2765940.545,1,0,86400,600,3,180,180,180
20240306,名門店,354647.798,2766530.246,10,0,86400,600,3,180,180,180
20240306,興昌店,353755.038,2766697.029,2,0,86400,600,3,180,180,180
20240306,汐止車站店,364188.65,2773423.786,12,0,86400,600,3,180,180,180
20240306,汐止智興店,363331.231,2773035.953,14,0,86400,600,3,180,180,180
20240306,汐止宏國店,363376.226,2773197.017,3,0,86400,600,3,180,180,180
20240306,新莊華寧店,342981.58,2770107.793,7,0,86400,600,3,180,180,180
20240306,泰山新輔醫店,340898.811,2770544.222,14,0,86400,600,3,180,180,180
20240306,新莊北醫店,343749.143,2770830.662,13,0,86400,600,3,180,180,180
20240306,新莊新園寧店,342758.534,2770445.428,9,0,86400,600,3,180,180,180
20240306,新莊中港店,343338.785,2770546.052,11,0,86400,600,3,180,180,180
20240306,新莊華運店,343001.661,2770487.064,3,0,86400,600,3,180,180,180
20240306,新莊和運店,342603.959,2770907.131,6,0,86400,600,3,180,180,180
20240306,新莊新和港店,342585.21,2771069.891,1,0,86400,600,3,180,180,180
20240306,新莊新幸福店,342327.52,2771444.52,6,0,86400,600,3,180,180,180
20240306,汐止鄉長店,364543.736,2774150.2,6,0,86400,600,3,180,180,180
