Date,Number,Name,X,Y,Demand,W_S,W_F,Service_time,N_V,C_V1,C_V2,C_V3
20240301,0,瑞芳,375487.619,2777331.953,0,0,86400,0,3,1800,1800,1800
20240301,16606,全家天成店,351230.603,2779050.753,8,0,86400,600,3,1800,1800,1800
20240301,52924,全家榮富店,350747.608,2778745.022,12,0,86400,600,3,1800,1800,1800
20240301,50535,全家百齡店,349687.39,2775661.667,4,0,86400,600,3,1800,1800,1800
20240301,10923,全家大南店,350414.713,2775907.32,14,0,86400,600,3,1800,1800,1800
20240301,54985,全家天強店,350495.214,2778074.109,7,0,86400,600,3,1800,1800,1800
20240301,18803,全家社中店,348251.515,2776245.076,11,0,86400,600,3,1800,1800,1800
20240301,54213,全家新葫東店,349104.011,2775380.615,2,0,86400,600,3,1800,1800,1800
20240301,19229,全家天山店,351343.338,2779226.9,3,0,86400,600,3,1800,1800,1800
20240301,50378,全家華港店,350011.372,2775793.253,10,0,86400,600,3,1800,1800,1800
20240301,61338,全家金天玉店,351028.839,2779493.439,14,0,86400,600,3,1800,1800,1800
20240301,56412,全家誠德店,351010.615,2778041.074,9,0,86400,600,3,1800,1800,1800
20240301,54987,全家新蘭雅店,350990.183,2778275.581,2,0,86400,600,3,1800,1800,1800
20240301,52932,全家德忠店,350796.391,2778188.37,12,0,86400,600,3,1800,1800,1800
20240301,11396,全家德行店,350765.896,2777945.379,11,0,86400,600,3,1800,1800,1800
20240301,59896,全家社正店,348863.456,2775837.084,12,0,86400,600,3,1800,1800,1800
20240301,50120,全家士商店,349719.423,2776162.352,8,0,86400,600,3,1800,1800,1800
20240301,0,瑞芳,375487.619,2777331.953,0,0,86400,0,3,1800,1800,1800
