Date,Name,X,Y,Demand,W_S,W_F,Service_time,N_V,C_V1,C_V2,C_V3
20240419,新遠雄二店,363005.79,2772692.937,8,0,86400,600,2,180,180,180
20240419,汐止新遠雄店,362796.904,2772712.391,2,0,86400,600,2,180,180,180
20240419,汐止東科店,362828.16,2772568.134,13,0,86400,600,2,180,180,180
20240419,汐止宏碁店,362720.773,2772595.358,14,0,86400,600,2,180,180,180
20240419,汐止連新店,363355.409,2772772.09,11,0,86400,600,2,180,180,180
20240419,汐止桂冠店,363482.484,2772193.684,8,0,86400,600,2,180,180,180
20240419,汐止莊敬店,363447.602,2772592.781,2,0,86400,600,2,180,180,180
20240419,汐止興莊店,363698.259,2772676.085,9,0,86400,600,2,180,180,180
20240419,汐止青山店,363595.241,2772835.23,8,0,86400,600,2,180,180,180
20240419,汐止福全店,364382.933,2773027.092,3,0,86400,600,2,180,180,180
20240419,汐止秀峰店,364252.154,2773250.227,3,0,86400,600,2,180,180,180
20240419,汐止新忠孝店,364330.567,2773335.612,2,0,86400,600,2,180,180,180
20240419,汐止站前店,364316.586,2773426.563,5,0,86400,600,2,180,180,180
20240419,汐止橋東店,364619.3,2773710.454,14,0,86400,600,2,180,180,180
20240419,汐止新興店,363675.229,2773018.531,10,0,86400,600,2,180,180,180
20240419,汐止興龍店,363464.312,2772918.662,10,0,86400,600,2,180,180,180
20240419,汐止龍安店,363391.37,2772906.296,2,0,86400,600,2,180,180,180
20240419,汐止興萬店,362997.855,2774484.337,2,0,86400,600,2,180,180,180
20240419,汐止祥雲店,362604.246,2775807.436,7,0,86400,600,2,180,180,180
20240419,汐止伯爵店,361839.735,2774798.547,13,0,86400,600,2,180,180,180
20240419,汐止日月光店,361829.121,2774003.438,13,0,86400,600,2,180,180,180
20240419,汐止東城店,361138.617,2773526.57,4,0,86400,600,2,180,180,180
20240419,汐止湖前店,361174.558,2773645.829,3,0,86400,600,2,180,180,180
20240419,汐止新水蓮店,361255.457,2774325.112,14,0,86400,600,2,180,180,180
20240419,汐止鑫峰店,360906.741,2773698.995,13,0,86400,600,2,180,180,180
20240419,汐止金龍店,360795.091,2773618.052,2,0,86400,600,2,180,180,180
20240419,二繽店,353157.814,2767470.286,7,0,86400,600,2,180,180,180
20240419,安居店,353196.183,2768147.371,15,0,86400,600,2,180,180,180
20240419,六張黎店,353625.173,2768163.597,9,0,86400,600,2,180,180,180
20240419,財盛店,353591.146,2769141.638,4,0,86400,600,2,180,180,180
20240419,臨江店,353567.02,2769220.549,5,0,86400,600,2,180,180,180
20240419,通和店,353207.017,2769329.574,3,0,86400,600,2,180,180,180
20240419,成功店,352368.328,2768818.86,10,0,86400,600,2,180,180,180
20240419,和復店,352255.015,2768743.074,3,0,86400,600,2,180,180,180
20240419,泰順店,350991.257,2768793.386,11,0,86400,600,2,180,180,180
20240419,和新店,351481.812,2768825.945,1,0,86400,600,2,180,180,180
20240419,和東店,352034.904,2768742.286,10,0,86400,600,2,180,180,180
20240419,辛亥店,351975.979,2768412.816,14,0,86400,600,2,180,180,180
20240419,和茂店,352680.748,2768673.472,9,0,86400,600,2,180,180,180
20240419,台新店,351191.46,2768084.417,4,0,86400,600,2,180,180,180
20240419,師大店,350704.452,2768588.015,12,0,86400,600,2,180,180,180
20240419,台師店,350546.342,2768838.36,7,0,86400,600,2,180,180,180
20240419,古亭店,350297.202,2768734.515,10,0,86400,600,2,180,180,180
20240419,羅中店,350039.07,2769117.415,6,0,86400,600,2,180,180,180
20240419,潮州店,350284.789,2769228.205,13,0,86400,600,2,180,180,180
